Circuit.ecp_harmonic {20151F59-4331-485A-9F09-F8384A507E12}
BaseV=BaseV_13.2000=1 {B3374C13-5674-4102-A0B0-A8E16EBF5973}
OpLimV=OpLimV_13.2000=1 {F8A2966F-7A7D-4F94-A69E-F872A1328F4C}
OpLimAHi=BaseV_13.2000=1 {C54B070B-7431-4D6F-A140-B5C01D40F669}
OpLimALo=BaseV_13.2000=1 {0C459B0B-04C2-441A-AABD-29005A84AD6E}
OpLimBHi=BaseV_13.2000=1 {ACFFE135-BC62-44E0-93A7-03297C47618D}
OpLimBLo=BaseV_13.2000=1 {3524B655-CD79-4FFB-A4DC-A92327513D39}
Topo=sourcebus=1 {E255F1BC-1518-4298-BEC6-E6E7144F4D1F}
Topo=fdrhead=1 {7C22FDDD-6673-42F1-8007-B44C380774F7}
Topo=bess=1 {2A6D4F4C-EBCA-4981-B08A-A69EA0DABBEB}
Topo=pv=1 {662550C3-6FAF-4608-A179-99D2166248BD}
Topo=load=1 {43292C35-A6C2-4D1F-920E-1EC44C2CD7FD}
Topo=gen=1 {0DD6F002-9919-40B7-BB2F-22394DED5D39}
MachLoc=gen1=1 {6B97169C-97AC-4F4E-BE68-C7E8B200D79C}
83=gen1=1 {9AB8DD7A-133B-4FB7-9391-DCDBBCC2E9AB}
PosPt=Generator.gen1=1 {0589DAA9-CB85-4655-ADA1-31C8B663DECC}
MachLoc=gen2=1 {7DD6C456-CFA7-4678-B025-CC6F39F76E53}
83=gen2=1 {C1C56548-12CA-437F-A214-B4E70DAB6A5F}
PosPt=Generator.gen2=1 {14CFD023-2D49-474F-8ED8-E3E719FF3971}
PVPanels=pv1=1 {597136F1-5757-4073-A375-D9E46389D466}
SolarLoc=pv1=1 {34CCF6CD-EA31-49DA-B795-492A9110F005}
195=pv1=1 {BB449E47-061C-4176-BF2D-874AAE0B72C5}
PosPt=PVSystem.pv1=1 {D08B65B2-1C42-4524-86B0-396547D1BAEE}
PVPanels=pv2=1 {C4F7B581-96BB-4953-B1EB-576062406C1D}
SolarLoc=pv2=1 {3C110A8F-2C8C-4603-8CCC-C8FD3BFBAF8D}
195=pv2=1 {7E3934FE-D379-40CF-9988-5A3C7ECDC767}
PosPt=PVSystem.pv2=1 {0EDDA03A-3687-4E7A-846E-694E220CD2AE}
Battery=bess1=1 {FB0ED66D-104B-4025-9B23-66984DF96911}
BatteryLoc=bess1=1 {F3CB5789-A962-4A8A-9617-8F0C8C442757}
171=bess1=1 {B9E6C1C0-5E03-4402-9665-2D369F862E18}
PosPt=Storage.bess1=1 {74BFC9D6-3F46-4226-A6B3-6EA026B0B0A7}
Battery=bess2=1 {39B1264E-4BF7-41C5-9986-89B12377FD59}
BatteryLoc=bess2=1 {FEEE06F4-7902-49B6-9751-328E06437D21}
171=bess2=1 {375FB8A5-F5D8-40E6-A04F-FCB02D9AFBB9}
PosPt=Storage.bess2=1 {D5CE8A1C-61C3-46D4-ADB3-257D3C411CE0}
SrcLoc=source=1 {40AEA0F7-F276-46CA-B44D-F77CD076EDD0}
25=source=1 {84A7F7C7-7828-4D6F-8BBE-5DDB92D4E0D3}
PosPt=Vsource.source=1 {36CF5995-5457-481D-B672-1B69A08FB95D}
LineLoc=thev=1 {55DF6B4C-458F-462B-99E9-240570342A75}
50=thev=1 {3D64163F-0F4D-4FC1-9888-8F6871780628}
OpLimI=OpLimI_400.0_600.0=0 {AD1ECBCB-48F2-4F32-81F9-45899E27675A}
50=thev=2 {2B6AC411-67DD-4D83-AEED-C8B49D41E616}
PosPt=Line.thev=1 {BD0B808F-5703-4BD0-BBAF-822FACB6AE9A}
PosPt=Line.thev=2 {D9007BCF-8BD1-4156-8961-C6B176027556}
LineLoc=seg1=1 {4AEE6549-44E0-4C7C-9087-9D4FA512FB33}
50=seg1=1 {17090EC1-ABF3-4A77-8329-399AAF1F966A}
50=seg1=2 {CFC881CE-2460-4C29-BF81-DBE281AB99F1}
PosPt=Line.seg1=1 {091242BA-CF02-4DA4-A087-C67C59235CA3}
PosPt=Line.seg1=2 {57ED5AB3-7E43-42D9-A66D-2DE3DF198ADF}
LineLoc=seg2=1 {85100C3F-2FAF-4F20-965A-09A5B819DBF6}
50=seg2=1 {3ACC5ABE-4892-44D7-B71B-CDD5B6A0F248}
50=seg2=2 {489A1708-9F76-44A8-AEC9-9B9B6DA25F37}
PosPt=Line.seg2=1 {89E96252-D1F8-470A-9E3D-B4F39F0627D2}
PosPt=Line.seg2=2 {6058203B-472A-4F9F-BB28-C11D641CDAE5}
LineLoc=seg3=1 {F017F98D-3624-4F5B-8068-9D543010EF33}
50=seg3=1 {43A9D480-141A-4E9D-9766-22AA86C17FF5}
50=seg3=2 {69A2F3BE-1FB4-4515-B242-D5C30D8919B4}
PosPt=Line.seg3=1 {1A00009F-FA35-4598-9DE0-5D4287B6B430}
PosPt=Line.seg3=2 {D60FCB46-C128-491B-80DD-A7E8A27B3DCA}
LineLoc=seg4=1 {C702843F-83F8-4386-A327-BF6B597927D8}
50=seg4=1 {D8117FE8-7A6E-4A09-BA84-B62ABD5CC78C}
50=seg4=2 {A8E3FE3C-6586-4538-B805-00FFB80D00FD}
PosPt=Line.seg4=1 {713CE410-4E3E-4792-A7CD-5A7FDDE3FA46}
PosPt=Line.seg4=2 {84FB564B-DC6D-4BB4-999A-89D0D0F68774}
LoadResp=ConstkVA=1 {3118E5EA-5377-4FF7-9EE2-499927E040AC}
LoadResp=ConstZ=1 {AECB2E3A-D8A7-4134-8F73-AA1791B2E2E5}
LoadResp=ConstPQuadQ=1 {2396C197-ACF7-4910-82AE-CBFCC6EAFD36}
LoadResp=LinPQuadQ=1 {017C7617-1387-4AA2-8ADE-FD16E230AB51}
LoadResp=ConstI=1 {94256DF3-AFA9-4DEF-AA07-0AB8925D9F67}
LoadResp=ConstQ=1 {7D351E00-CEFC-4485-932A-368CA4350D1D}
LoadResp=ConstX=1 {90B1DEBE-8841-45BA-86AA-B91522CCBCC5}
LoadLoc=load1=1 {B9340EDD-452D-40F1-92C0-F3025BE0FAB2}
59=load1=1 {EACE346E-23AD-4048-9529-261BA33DDDEA}
PosPt=Load.load1=1 {2E9B77E8-B0BE-4E9B-9656-2DC665542E44}
LoadLoc=load2=1 {6841A3C7-4448-4E0E-8962-2E0D92E6DE74}
59=load2=1 {E07F42CE-9909-43F3-95E2-0AB5AD2E4C3F}
PosPt=Load.load2=1 {497C7A31-C804-4AAF-BAC3-A50140C086B1}
NormAmps=OpLimI_400.0_600.0=1 {3B84BF4E-A314-4D4B-96A1-DAA27EA0EFE4}
EmergAmps=OpLimI_400.0_600.0=1 {B8D0131E-2E5B-4DDD-98FC-071F2FCC51C7}
ECP=Gen::::linear=0 {AF9A0B4B-6E8E-4F80-9E11-30EA656306FD}
ECP=PV:::::::dc6=0 {AF9C2365-B150-4E6F-80F4-8D1F035DC113}
ECP=Bat::::pwm6=0 {9436B7A0-2B5C-45C9-BEB6-BED4A72F8408}
ECP=Load::::::pwm6=0 {AD955E67-6163-4E1A-A7A1-3A39290A7EAA}
