Circuit.ecp_duty {2CAF6651-0176-4D51-879E-8B4369716F31}
PosPt=Line.seg1=2 {34F6BB7A-B137-4CB1-A775-9B12CBC05E62}
LineLoc=seg2=1 {204C1BCF-81DB-47CF-B291-F4409152D56C}
50=seg2=1 {F4EEE87E-EE0E-4D0A-B4B7-6FA534290CE8}
50=seg2=2 {99B60C08-CC00-4DF5-94DA-12162266BC5D}
PosPt=Line.seg2=1 {0376BE27-AEFA-4D9E-B4FB-BDA3392CE863}
PosPt=Line.seg2=2 {5E5EC82C-1012-4134-AB39-1F4AC6A5A37D}
LineLoc=seg3=1 {35AF8224-F12B-4DFF-A93A-8F171BA62F2A}
50=seg3=1 {2AD772E6-6B85-41F7-9D07-63C081256C96}
50=seg3=2 {45E4A80C-A793-4C20-90AC-30E74D091E9A}
PosPt=Line.seg3=1 {FCB2E0E9-6523-4B33-A2DA-EB7933D0F792}
PosPt=Line.seg3=2 {A6E27A57-5CA2-4C6D-BAB9-71116533B28A}
LineLoc=seg4=1 {7E4F78DC-B8DB-4208-9A3A-DD3F65D381B7}
50=seg4=1 {00F11C77-41F3-43B6-948A-7AFF2C921183}
50=seg4=2 {9EB659C0-00FF-47C5-AB19-2DC9036ACCD3}
PosPt=Line.seg4=1 {0904B678-13B6-476A-B0AA-D65491ACBF95}
PosPt=Line.seg4=2 {ED51D526-8F74-4E67-A7DF-2F1BF24AD51B}
LoadResp=ConstkVA=1 {6BE627B4-58C6-4F80-9D94-8D969818DEAE}
LoadResp=ConstZ=1 {20C1D26B-361D-44A2-A924-5C1865788837}
LoadResp=ConstPQuadQ=1 {AF9D7DD1-EC3A-4A8E-A5AC-E26D11FF3D49}
LoadResp=LinPQuadQ=1 {CE8E14EF-DB3D-489F-A8A5-F6206CB5D21C}
LoadResp=ConstI=1 {B4FB1A67-9906-42F7-9C67-EFDB60D8F98E}
LoadResp=ConstQ=1 {488335A4-181D-425C-81D8-157B062B9D06}
LoadResp=ConstX=1 {DC5FD9DE-DAC5-4D3A-B431-D7A81F74C14E}
NormAmps=OpLimI_400.0_600.0=1 {568D35B8-BA68-437C-A858-2C4B6D997D2A}
EmergAmps=OpLimI_400.0_600.0=1 {F6164897-2038-4354-885D-6E080F3A28ED}
ECP=PV::PVduty:::::=0 {02269481-FFF7-4F74-ADDD-5D3690717F95}
ECP=Bat::cycle::=0 {EBD3C212-281F-45FE-AED8-6FCBC0F28597}
