Circuit.ecp_daily {C4248C71-A0EE-4D78-AFEE-74F3359A2099}
CoordSys=Local=1 {74CB5F58-D904-4493-909F-7B4994F6E5D1}
FdrLoc=ecp_daily=1 {1E9DD610-ACB3-4F34-A4CA-427494B84974}
TopoIsland=Island=1 {DD573EE2-D7F4-49CC-B39F-6BBF1470C223}
OpLimT=NormalAmps=1 {BD295B25-084D-4336-A7CE-469D1894BC59}
OpLimT=EmergencyAmps=1 {3FC05278-A2A8-41E7-A6F2-D47D84D869C2}
OpLimT=AHi=1 {CAF78BA6-5833-45AE-A179-49973995B81D}
OpLimT=ALo=1 {B84BBC8F-DE74-472F-B3F6-AE8D7EDA703F}
OpLimT=BHi=1 {AF38093C-F2C2-4ABB-B10A-A1439A74EE8A}
OpLimT=BLo=1 {007D045D-DC04-443A-916E-5A342BD42DDA}
BaseV=BaseV_13.2000=1 {1584C346-1D3A-4E5E-9E6C-8EA72FDE87E6}
OpLimV=OpLimV_13.2000=1 {2014FF22-09FE-4982-BACB-26A3010CE09D}
OpLimAHi=BaseV_13.2000=1 {5CCD409D-1B05-443D-BA40-24A61489BEA5}
OpLimALo=BaseV_13.2000=1 {0D94036A-DDF1-4C23-8771-5C48B476E868}
OpLimBHi=BaseV_13.2000=1 {1F2D2CA6-ABB1-4CF0-9370-C88BC08E93E0}
OpLimBLo=BaseV_13.2000=1 {E36D3F64-E50E-4424-BB03-837DE35F053D}
Topo=sourcebus=1 {87CE2474-A717-41C2-A8C8-CD291A288A44}
Topo=fdrhead=1 {1213B318-F2C5-4538-888E-A3C4E82402FA}
Topo=bess=1 {9E7AED36-5A43-4991-8519-7BEEB974D87D}
Topo=pv=1 {15ACECA4-4D32-44EC-8320-53A361C51333}
Topo=load=1 {EC3E880A-03C6-4CB2-9F5E-8CFD713E5F79}
Topo=gen=1 {2DA58D8B-CFCE-42EC-818B-37F9D48655F1}
MachLoc=gen1=1 {D1FF08CA-E54F-4502-9E20-D5DF0D758781}
83=gen1=1 {EDB3B931-D210-4B41-B4CC-4B80E7926CEF}
PosPt=Generator.gen1=1 {85A5C658-94CF-40C5-998E-8A286E346669}
MachLoc=gen2=1 {A10DC52C-6CB4-41D3-9BFE-0759086B8773}
83=gen2=1 {D2AC95ED-7B1F-49D0-AC5D-2B88FA08030D}
PosPt=Generator.gen2=1 {7AC2B98C-7697-4EEF-B3B6-15085585E1CC}
PVPanels=pv1=1 {10BAC473-BC8F-4503-8216-4B330A772EE2}
SolarLoc=pv1=1 {4EC180DB-E1E6-46AB-8B71-5BEC00991BF2}
195=pv1=1 {EA6D1ADD-6D12-43DA-8460-95C17A514EC0}
PosPt=PVSystem.pv1=1 {50661645-7FE4-4C95-9830-70B3CA48CD68}
PVPanels=pv2=1 {0B7BA8BA-0055-43FA-BE51-C26CE9C2BDB8}
SolarLoc=pv2=1 {77D7EA05-5320-4356-8472-34CEFD161DAB}
195=pv2=1 {E6B7CB2B-DE15-4E96-902E-7ECCBEF80B66}
PosPt=PVSystem.pv2=1 {5DFD3CC5-2970-4A43-9C53-E342DC0FB1DC}
SrcLoc=source=1 {DB58DFD3-2DAA-40C4-BE2C-71BD9FC2DCE8}
25=source=1 {3A9FA3A9-0233-40A7-AA04-9664E54B378A}
PosPt=Vsource.source=1 {94086CDB-F556-40D9-B02B-D7DF5F09B806}
LineLoc=thev=1 {6D16F131-D1D3-417D-BB49-F779B0977669}
50=thev=1 {9396684A-815A-4D3B-A046-E64636F05A38}
OpLimI=OpLimI_400.0_600.0=0 {FA762D16-AA65-44E9-9951-A7F3578B1D5E}
50=thev=2 {354460C0-1E03-459C-8EFF-DA97CD1101AB}
PosPt=Line.thev=1 {F733DF9A-02F7-4491-8993-4E5E8DCB8BE6}
PosPt=Line.thev=2 {712D7743-731D-4710-832E-4CB92909ABC9}
LineLoc=seg1=1 {D3921516-6AE7-4FC5-ACC2-CBC2DC1F8982}
50=seg1=1 {680AAAF5-8B59-4959-9127-543EC915E580}
50=seg1=2 {9209A447-5381-4726-9AA2-8773229DA12C}
PosPt=Line.seg1=1 {FEE33B99-263B-4866-BA77-F26CC08A2A06}
PosPt=Line.seg1=2 {9555DC54-E5BD-4B2D-90E3-15C51F1C3763}
LineLoc=seg2=1 {9BC067EB-08FE-48E4-8B26-19ED82255F7D}
50=seg2=1 {4C36185D-D27B-40CA-8E83-D761E13016C0}
50=seg2=2 {92FDF71D-B8A9-4D4A-83EE-92E210A7DC50}
PosPt=Line.seg2=1 {59F854CB-96E3-477D-A4DB-E7D7707EAFB0}
PosPt=Line.seg2=2 {98EC77CE-B951-4347-A4A8-5B22CAE73618}
LineLoc=seg3=1 {F83374EC-E2B3-479C-8933-AA33540A2D69}
50=seg3=1 {AD6C8F20-DF49-4551-90CF-44417FA7D6C8}
50=seg3=2 {AFE5AB6C-6FC8-4D87-BEF7-562891724EA9}
PosPt=Line.seg3=1 {2A680522-B16A-4BCB-A747-EB3F44D84118}
PosPt=Line.seg3=2 {F75D12B8-4183-4D47-9718-A4EC8CE77DA6}
LineLoc=seg4=1 {58F15536-DDF8-4A8B-AAC6-3058AC86D67F}
50=seg4=1 {9C1BC5F4-10E9-4D63-A20F-DE4201B3D795}
50=seg4=2 {D20406CB-8F5E-4AD3-BAEE-519DB92F2720}
PosPt=Line.seg4=1 {2C604D3E-FF22-44DD-A8C4-3814F8E4700A}
PosPt=Line.seg4=2 {FFFFA53D-1A3E-4B60-9F4D-051B3C5A3314}
LoadResp=ConstkVA=1 {ADD6D39B-32A8-43C4-B130-ACCEC990099E}
LoadResp=ConstZ=1 {6C1F6CAF-7582-41D4-8631-917E0DF7902E}
LoadResp=ConstPQuadQ=1 {1FC64CCA-B2E3-498F-B77B-37E87FE48E74}
LoadResp=LinPQuadQ=1 {56E77817-1A0C-4DF8-8B62-A0BA2B301BFC}
LoadResp=ConstI=1 {49D0A2BA-37DF-49E5-8DE2-F4498D417FF5}
LoadResp=ConstQ=1 {834CC8A4-77CE-4647-9F93-7975482859D8}
LoadResp=ConstX=1 {64E94120-0033-4CFC-94C6-54DC6B45D31B}
LoadLoc=load1=1 {EAF12B77-2EA1-45A9-8B3E-1EA347FBB1C7}
59=load1=1 {BE227665-C6EC-47C4-9ECE-BF66C82C7BF2}
PosPt=Load.load1=1 {B6146CE0-78F7-40E9-9B52-FB1689E06448}
LoadLoc=load2=1 {250C1EC4-D149-464B-A2D5-B3A2EC44ED17}
59=load2=1 {F15054D7-9335-4519-8BFB-DD6258917832}
PosPt=Load.load2=1 {43F783B4-D370-40DB-A029-06A21E7E0C0A}
NormAmps=OpLimI_400.0_600.0=1 {9A464158-1380-43B0-9101-1DE05501CBF3}
EmergAmps=OpLimI_400.0_600.0=1 {BDE233D3-65A4-4DF8-A3B8-AB6FF1433489}
ECP=Gen:default:::defaultgen=0 {DC58BF76-09C7-493B-BA81-D4107249FA0C}
ECP=PV:clear::::::=0 {910F629E-447C-4BB5-93EA-ACCAC72017A5}
ECP=PV:cloud::::::=0 {DEB73F93-8BE5-4E18-B9CC-3013E403E82E}
ECP=Load:default:::::defaultload=0 {D7D13BE6-FF00-423F-A53F-B0BAFE318B50}
