Circuit.gld_daily {6C3BD8BB-3BEA-4974-BBDE-903681A7ED71}
LineCode.trunk {2AB88DF8-7212-42BC-B1B9-744A2B7ECEFE}
Station=Station=1 {EAC83149-17CD-4EF8-B361-BFF26183D60B}
GeoRgn=GeoRgn=1 {E8206470-D385-419D-A461-6C18738793FF}
SubGeoRgn=SubGeoRgn=1 {83B8CC5B-6231-45D7-AD37-76214F2C247A}
CIMVer=IEC=1 {A33BE40B-FE45-472A-AEC0-DB87EF4B086C}
CoordSys=Local=1 {D82AAED1-9A4B-40BB-AB08-AF6780964D50}
FdrLoc=gld_daily=1 {D5392E57-DCAF-4B91-BF4C-14955DA68186}
TopoIsland=Island=1 {AC66C462-987C-49E4-AF39-536B49647B32}
OpLimT=NormalAmps=1 {405411EF-1357-4486-93A8-65A346C4D0D3}
OpLimT=EmergencyAmps=1 {1698EECF-C657-4CC2-9CE3-091933915FEC}
OpLimT=AHi=1 {11B69E95-60D3-4991-A35C-2C10B03BDAA0}
OpLimT=ALo=1 {79428595-3C6C-4E9B-BAB5-B20F6C06E25A}
OpLimT=BHi=1 {0AB256F7-D850-41C6-AB9E-5AEFCAE6ECE9}
OpLimT=BLo=1 {24BDD776-59F1-4E9C-BBF1-5595DD9BB9C7}
BaseV=BaseV_13.2000=1 {029ED20A-F7AF-4082-8511-56A53EAD520F}
OpLimV=OpLimV_13.2000=1 {3A7E58EC-97D0-4DD1-B3C9-71AE72559C13}
OpLimAHi=BaseV_13.2000=1 {111B3808-911D-405E-8B92-3BC431DE280E}
OpLimALo=BaseV_13.2000=1 {70C0D0C1-3535-4305-ABCD-E9B6020F0E6C}
OpLimBHi=BaseV_13.2000=1 {91C58B63-18DD-43E3-A5FC-802281DC437D}
OpLimBLo=BaseV_13.2000=1 {2B672C13-F40B-4E7B-A0B9-175EEA298ACC}
Topo=sourcebus=1 {2138B1BE-6F7E-4E80-B8F2-B86583A512CF}
Topo=fdrhead=1 {2B2BA406-5D8D-490C-86AD-A0EDD573BE5F}
Topo=bess=1 {A9BDC23F-4A1F-4232-AB87-F33AC851C448}
Topo=pv=1 {43F11E81-A672-4097-83A5-48FCA59EF106}
Topo=load=1 {54D7AD08-1F1C-4FC8-87A9-4D7C33A339A1}
Topo=gen=1 {FD854951-3480-4716-9A6B-EFE0F4E191F9}
Topo=pv1=1 {535D1EE7-4C4C-478B-8967-8DBAC678824F}
Topo=pv2=1 {12ED0D72-2217-4033-A128-6E1F4BDD19C5}
Topo=bess1=1 {8BF8AF5B-E824-43AD-B75A-0146388238BF}
Topo=bess2=1 {C875D10A-C1EA-4956-901F-40C89629D961}
Topo=load1=1 {C22596C7-DE87-4BFF-AA4C-30C8F9086465}
Topo=load2=1 {9A0C34BA-100E-4F7C-BF9E-BF75430BEFD9}
Topo=gen1=1 {4BFAEDE4-7FE0-4C50-876F-DDD490ACCB5C}
Topo=gen2=1 {676AA023-15A1-4061-B61A-8D32B93C3458}
MachLoc=gen1=1 {6C1CE351-3F90-4B64-B88F-134920B9FB31}
83=gen1=1 {B0CD10DF-0A7B-4656-B898-017B162DDC16}
PosPt=Generator.gen1=1 {FE618DB4-539E-4954-89A7-E92280DB5906}
ECP=Gen:peaking:::defaultgen=0 {D2098862-EBBF-49AB-9B5A-6615A5C8C735}
MachLoc=gen2=1 {7AF450B1-438F-4BFC-95F4-090B7BF8F6E9}
83=gen2=1 {BCBEC49A-58CC-4318-80F1-8448A3558DE2}
PosPt=Generator.gen2=1 {4F474911-6316-409E-84F6-1D74DF84AD36}
ECP=Gen:default:::defaultgen=0 {A228E0C6-975D-451B-A8DD-2E6708ABC398}
PVPanels=pv1=1 {6DCC6B03-2138-4961-AB35-A1C485785DC0}
SolarLoc=pv1=1 {4E0639B2-74B2-4B47-B495-405DBF1543CF}
195=pv1=1 {22846D46-1F7D-404B-86E7-2B4815BCDCC6}
PosPt=PVSystem.pv1=1 {843BFBD5-BB2A-4019-97DA-836CB83F9D21}
ECP=PV:bump::::::=0 {68F84B2F-7D82-4777-9DF0-342D4D0EF818}
PVPanels=pv2=1 {9636FC5F-A50B-4F0F-8D36-4AC01A654312}
SolarLoc=pv2=1 {95904360-DD4A-4946-AA63-4A5C3742AD4A}
195=pv2=1 {5D3DAA8A-9315-4A23-B55F-EBC1D4B16DB4}
PosPt=PVSystem.pv2=1 {EFD1428C-6E3B-4584-BBC0-849C760C92E1}
ECP=PV:cloud::::::=0 {582F04C7-A08B-413B-A554-B63F32F180C2}
Battery=bess1=1 {A8B0D457-A352-41BD-802D-2F47DFE8A8F0}
BatteryLoc=bess1=1 {343F7BA7-5FFE-42F0-B819-84F8F29A37AA}
171=bess1=1 {3A840D1A-F434-4737-809E-6E5C10B76B1D}
PosPt=Storage.bess1=1 {9A40D827-F213-4438-9CA2-54D3DCF1D1D0}
ECP=Bat:clear:::=0 {90459C2E-1390-4F70-A182-ABB729F2367B}
Battery=bess2=1 {ACB0159A-1694-4471-AB7D-70A36CFD5FB0}
BatteryLoc=bess2=1 {622FE025-5665-4C9C-B7DE-2DBB5C541598}
171=bess2=1 {1510E4D3-C82B-434E-BF56-C6D43C63638B}
PosPt=Storage.bess2=1 {4502214D-E70E-46E6-B59E-2A280F84102F}
ECP=Bat:cycle:::=0 {44BAB5C4-C41D-46C7-9157-6DF625A840C1}
SrcLoc=source=1 {CF553CB7-0302-4887-86DB-43BDB281A617}
25=source=1 {277650FC-44CF-4A45-AF36-390149BB0E72}
PosPt=Vsource.source=1 {3BE91457-1FAA-4620-B149-4FED87EE68A4}
LineLoc=thev=1 {C234ADE5-EDB2-4BA3-B86D-D3B3B50277CA}
50=thev=1 {AB3A2702-C07B-4AD5-8A0F-87911D3DAD7F}
OpLimI=OpLimI_400.0_600.0=0 {0CAA59FB-A2A4-4E3C-A5C9-74584EE3E2CD}
50=thev=2 {8A200B14-5187-460C-8898-4F9E3FA6D3D3}
PosPt=Line.thev=1 {A1B9CE24-B638-48E1-B47F-CC18CFFE71A5}
PosPt=Line.thev=2 {CC350857-ABDE-4B39-A7A7-4A8C969D94E0}
LineLoc=seg1=1 {94152B0C-054F-47DF-A3B3-B04AE07938C5}
50=seg1=1 {B672B7D3-1FEF-4BE2-A63B-9E398C8669A5}
50=seg1=2 {463CD0F9-37D5-4A89-80AA-59D4351C2789}
PosPt=Line.seg1=1 {220186C6-33DC-49DC-9C46-5FA0A24A8B1D}
PosPt=Line.seg1=2 {139C31C6-3500-48CE-9BD9-1108FA3E9266}
LineLoc=seg2=1 {B32F9D9B-4CCF-42E6-ABA7-5028B62BF33B}
50=seg2=1 {C12456AB-AC87-4D95-B28C-85A4E2A528F8}
50=seg2=2 {FCBCB00E-3C8F-443D-83A4-E7D2F188B59F}
PosPt=Line.seg2=1 {207FEA97-6C21-4D2E-B54D-0A21C0563DE9}
PosPt=Line.seg2=2 {CA67B96E-1342-4CB7-A09B-C5B6D49E3764}
LineLoc=seg3=1 {F05E87F6-6037-42BB-B5AC-937252F51B6F}
50=seg3=1 {59CC2FF6-98BD-4666-A494-C072E4C91B38}
50=seg3=2 {6E538F4E-1E06-46BF-8F5B-52DBA52A1886}
PosPt=Line.seg3=1 {DA47E83C-5BE2-4AE2-B6C9-F2A5615227E6}
PosPt=Line.seg3=2 {9DF04548-34DC-4CD5-83BF-E08F500C795C}
LineLoc=seg4=1 {E1BE9523-B961-4426-A0C3-E0BFEB0566AB}
50=seg4=1 {D829D66D-66E3-4250-ADF6-37F2EEA3A178}
50=seg4=2 {D95B9902-E64C-4453-A7EE-0F0C1E5E74A2}
PosPt=Line.seg4=1 {63BDFFEA-7481-433D-9C80-18E9B1839644}
PosPt=Line.seg4=2 {02E4BBEA-23BE-4711-9618-99E5929169CC}
LineLoc=pv1=1 {46728490-6551-4B02-8ECB-BCF1B4B93488}
50=pv1=1 {23CD6AF2-CC22-4764-9783-77F412BEBD69}
50=pv1=2 {8AA15B91-5243-43BF-AC23-575FC0C91BF8}
PosPt=Line.pv1=1 {49748B12-A430-4A28-9F44-7BA86206F584}
PosPt=Line.pv1=2 {B35B0959-7786-4D41-9148-53F7455DE3A2}
LineLoc=pv2=1 {6E976921-07B2-4437-B208-0AA4854716DB}
50=pv2=1 {604AC3CC-E205-44BC-AE66-95D3E89ABE41}
50=pv2=2 {0B00B812-D8A8-47A2-82B6-CB5F0C281127}
PosPt=Line.pv2=1 {088B5131-867E-4407-B3BD-EFFFB165CDC5}
PosPt=Line.pv2=2 {4F541661-E388-4646-A83C-F6AE95CAACD7}
LineLoc=bess1=1 {8D819DA3-54D2-4DD1-A391-0D270E4E5B83}
50=bess1=1 {2F69C734-3C2D-4D3C-A354-8A9D76276211}
50=bess1=2 {5A49ED16-21F7-4570-872A-CFF4D172E889}
PosPt=Line.bess1=1 {3994FF20-3E3A-486D-927D-0007AD82647F}
PosPt=Line.bess1=2 {2D204AC6-C4C5-4230-B4A9-29A306DDC008}
LineLoc=bess2=1 {5B6E9C19-15F8-4020-B601-6EC3B141669B}
50=bess2=1 {5294CA01-97AB-4FD2-A9F2-78926A8C1B9B}
50=bess2=2 {AD43872F-C0C9-4779-9A38-5DC304DE4093}
PosPt=Line.bess2=1 {861DBC79-EEAE-4E79-B7E7-808871AC82B9}
PosPt=Line.bess2=2 {5A79F560-AEA5-499D-8703-78907BB99C68}
LineLoc=load1=1 {39DF3DF9-530C-46AE-9B74-64C43FF48739}
50=load1=1 {7EC82147-C117-4051-8740-4200DD8A401C}
50=load1=2 {8D592508-40B5-498A-948E-D4A07811153D}
PosPt=Line.load1=1 {9B27FA8B-8A9D-4A6F-A0D9-2AF6F9C4E43F}
PosPt=Line.load1=2 {7EFF5B5E-DF1B-4BB7-ADEC-E78D0BB5042E}
LineLoc=load2=1 {86C68641-0131-4913-81D7-3DFFF2F0E39A}
50=load2=1 {94EAF88D-C1F8-47D9-906A-AD60EBB4D733}
50=load2=2 {A0F3B7E2-9DA6-4347-BBB7-1814A71D299A}
PosPt=Line.load2=1 {8DA497FA-A427-4B7A-8B47-25FB38DD0FD7}
PosPt=Line.load2=2 {A6255491-2A61-44AC-B9F3-D046D4A6ED15}
LineLoc=gen1=1 {79C1BA56-D55C-43AD-BC8D-FA98FA47D741}
50=gen1=1 {6B9CE175-9844-4DC2-A777-39B5D6D3BE4F}
50=gen1=2 {D9D1E82B-58E1-4EBC-A94D-ED53BD70FE7A}
PosPt=Line.gen1=1 {71F112BF-9C5F-49BF-8DAA-87D6258877F3}
PosPt=Line.gen1=2 {F204FF8D-CC38-4D41-ABEF-F23B4070B108}
LineLoc=gen2=1 {CCEF864C-3CC7-4EF6-B068-8E61191AA25F}
50=gen2=1 {D73D6901-FC94-40FA-B5BC-E4F089A6FCED}
50=gen2=2 {66FBB9DB-227E-4A8D-A188-15E0F242D695}
PosPt=Line.gen2=1 {0D9CF13F-756A-4C60-98C1-7C8805E22DD5}
PosPt=Line.gen2=2 {94C9AA96-D2FB-4B06-9D9D-0C941FAEA736}
LoadResp=ConstkVA=1 {569D369D-9194-4E22-B9B3-A0589A43FF57}
LoadResp=ConstZ=1 {31EFDF28-9669-4A2A-ACFE-F44AE8276212}
LoadResp=ConstPQuadQ=1 {12BFCD90-C3CF-4023-A1BC-A05C5D66FB26}
LoadResp=LinPQuadQ=1 {84845A7B-DC8E-42B9-90D0-1D94FB3BE050}
LoadResp=ConstI=1 {3220134F-C298-489C-A97B-FED0BF57BC83}
LoadResp=ConstQ=1 {746031F0-0E8B-4530-8218-E44B7BBB25B3}
LoadResp=ConstX=1 {E00AE0B6-6F6A-48AD-95BB-6DB84C6EA175}
LoadLoc=load1=1 {F9D8F36D-52C0-4057-986C-03840CB5F37A}
59=load1=1 {BD4F79C5-877E-4BCB-BD99-5189650011CA}
PosPt=Load.load1=1 {C552F56F-1441-45FA-B97D-BCCB7F82BE05}
ECP=Load:bump:::::defaultload=0 {79D71277-CD61-493B-8070-B3F27BBB4D5F}
LoadLoc=load2=1 {B3E8008C-8823-47FE-9720-2B79AB1CB9AA}
59=load2=1 {2316DE97-3AAC-46A5-9D63-8E2B1CD6E725}
PosPt=Load.load2=1 {3FE2DBE4-9C62-4C3F-8055-82060ED51F6D}
ECP=Load:default:::::defaultload=0 {FFDDFFE0-C5B2-4B73-9A2A-3A5B8B29A3E5}
NormAmps=OpLimI_400.0_600.0=1 {2302F459-C70E-4739-A9D0-B46E12148C61}
EmergAmps=OpLimI_400.0_600.0=1 {33E6AECE-FEFD-4489-9167-FAE48F672839}
