Circuit.imyd {73BB36C0-6DB3-4480-A8B2-822B4AADD390}
Bank==xfmrab=0 {E34F3251-0920-4F2D-96D4-0E40CD67CB64}
Bank==xfmrbc=0 {F6472FFA-7D4C-4F9C-84C3-44558970E985}
Bank==xfmrca=0 {0993BB5B-E1B0-4D08-831D-3E5288B8F204}
XfLoc=xfmrab=1 {1D4F2A9B-45A2-432A-890D-2193E96374BA}
PosPt=Transformer.xfmrab=1 {48446F32-B1B0-4C73-83AD-1E3C63D5E1A3}
PosPt=Transformer.xfmrab=2 {AF9C407E-324D-4A91-A8E1-D426FDC790A0}
PosPt=Transformer.xfmrab=3 {0C81C190-CB2C-4B89-819A-DFC2E1B9E44C}
Wdg=xfmrab=1 {D7CE6F2D-9557-4EB5-BB73-DFBACC63EF6F}
Wdg=xfmrab=2 {271C78D2-EA0B-442C-B100-7F94334A71C8}
Wdg=xfmrab=3 {9EF30910-45B4-4673-9754-F604FAD759AB}
XfCore=xfmrab=1 {5330F2EC-A524-48BC-995F-BE1A1F8C6FA9}
XfMesh=xfmrab=1 {16C4D472-73A5-41EF-A263-B0D61202F884}
XfMesh=xfmrab=2 {D54B1D17-354A-4A01-9BED-6C73B1BCE9AE}
XfMesh=xfmrab=3 {F6E5E445-312E-4BCF-82C5-C6F3DAAE579D}
34=xfmrab=1 {CFAFF0E9-4D7D-478C-8C19-A0FE3CE27963}
OpLimI=OpLimI_2.3_3.1=0 {A56108FE-6364-4566-9D56-0492E33A290C}
34=xfmrab=2 {A996ADAB-466A-4B14-8257-092BACAD4A8B}
34=xfmrab=3 {A7479C70-1F62-4B15-BF47-22AFE39BA074}
XfLoc=xfmrbc=1 {C716CC8C-EE29-4904-8CF9-BDE29032EC39}
PosPt=Transformer.xfmrbc=1 {D6EEAD0A-2F0B-40DA-B13F-5F5793F49F74}
PosPt=Transformer.xfmrbc=2 {AEBD85B6-26D2-4AFF-A0E2-0720EAF36BD7}
Wdg=xfmrbc=1 {D2B4D4F6-8DE1-4474-8D22-4386B735304A}
Wdg=xfmrbc=2 {8ADABEFD-3587-4EAA-88EC-89EB6876340F}
XfCore=xfmrbc=1 {6C1BDB50-59FD-4F6F-A5A4-73D90460E2DF}
XfMesh=xfmrbc=1 {37EC1961-AE0E-4442-AC68-7591B334401B}
XfMesh=xfmrbc=2 {DFCDDB35-C253-4B32-89C7-4748D46D1C8A}
XfMesh=xfmrbc=3 {EB6F0CEA-55EC-4930-9EA6-CBDCC0520D00}
34=xfmrbc=1 {D91A85DF-08D7-471B-BDF1-2A5F3102B73B}
OpLimI=OpLimI_1.5_2.1=0 {40F2E25B-5169-415B-9FCA-4504F3FEE391}
34=xfmrbc=2 {ED37B4D4-3179-4DE4-93CD-633134A508A2}
XfLoc=xfmrca=1 {BC06A557-64C2-4468-8A03-C77F52E9A409}
PosPt=Transformer.xfmrca=1 {37587441-EF64-495C-AC86-D2A08CA42465}
PosPt=Transformer.xfmrca=2 {F9A24A32-CE8D-4498-A4CE-135894555F03}
Wdg=xfmrca=1 {D64F2262-18C2-4E1F-80A8-800EBD8A0350}
Wdg=xfmrca=2 {87655454-D423-47B7-8433-39119AFBDA3B}
XfCore=xfmrca=1 {BEBD1A53-A890-4DF2-A445-7DC0577DE41B}
XfMesh=xfmrca=1 {2923CB5C-7353-43B9-9B8E-B4709FEB33A9}
XfMesh=xfmrca=2 {6FEB4086-A900-4A28-BAB5-112704AF96DB}
XfMesh=xfmrca=3 {7F458F6A-DD11-4910-BC13-4D23546574F9}
34=xfmrca=1 {1D157768-CFC8-40A9-B5D8-80B18062E323}
34=xfmrca=2 {EBF7634D-34C9-4A9E-8E40-EDB0D631BD27}
LineLoc=ohline=1 {E142026C-2DF4-471E-B649-759F972A423F}
LinePhase=ohline_A=1 {073F176E-F7DE-4882-ADE1-DCB40CE68C66}
LinePhase=ohline_B=1 {97BBAAAB-3D6D-4BAE-801C-87CED69AE6EB}
LinePhase=ohline_C=1 {15CEF408-FCD4-43F0-95E2-9E76EDBCF928}
50=ohline=1 {B8474937-89A9-4F49-8A5A-876AB5E62080}
OpLimI=OpLimI_400.0_600.0=0 {BEB34306-FF28-44FF-B92F-3A96FB202637}
50=ohline=2 {56311816-9618-4EF4-8DF6-59E70683C586}
PosPt=Line.ohline=1 {946F9083-20CE-4E1F-97E3-E3FCB3BEDA5F}
PosPt=Line.ohline=2 {5CF4F0F0-60E8-4801-807B-49934B85CE76}
LineLoc=quad=1 {8DA312E5-B2BC-4BED-9EBD-1E8B613EE91D}
LinePhase=quad_A=1 {C24C9567-3C06-474E-99BE-33C17B60A812}
LinePhase=quad_B=1 {218815B4-0306-4FD3-B30D-60D92098202E}
LinePhase=quad_C=1 {AA8F53E7-C754-4D0E-A5C5-67D3FE3EFB0B}
50=quad=1 {1C35A5BB-C226-47D9-A24E-A30824EE208E}
50=quad=2 {C061CC9F-3AA6-41A9-A73A-E63A0D38C601}
PosPt=Line.quad=1 {50FD1C95-DDD0-4198-984A-9BC4AF018A29}
PosPt=Line.quad=2 {B3F04624-483C-4C39-8F25-30503A88A278}
LoadResp=ConstkVA=1 {A371B3C2-1140-4CD7-9A50-865A048D0AC6}
LoadResp=ConstZ=1 {2EEE6A06-9353-4EA3-B5FF-AD9C3A51E467}
LoadResp=ConstPQuadQ=1 {1318E85F-570A-47B9-A897-0FB88D02B7EB}
LoadResp=LinPQuadQ=1 {BDA751FF-CA57-41D8-A6C6-06F1C7FB12A5}
LoadResp=ConstI=1 {E3177D27-F0FC-45EE-AC41-EABB6BC17203}
LoadResp=ConstQ=1 {661A06F7-B088-4D9B-B0BC-1D3EDE82E526}
LoadResp=ConstX=1 {73C5FC0D-A131-4A1D-BDA6-03E57B17B9F4}
LoadLoc=l1=1 {75F49974-F093-4340-8E2C-8AE889E65D63}
LoadPhase=l1_A=1 {83D28977-5874-46BD-9114-DD686485DEBE}
59=l1=1 {BE0CB312-979C-4B6B-B03D-BD1FCB9723A1}
PosPt=Load.l1=1 {DADCBDDC-689A-4B6D-BCF4-3A2660187D9A}
LoadLoc=l2=1 {B4D786E3-CCB3-4474-AA24-AAD82D6A3EEA}
LoadPhase=l2_B=1 {F59ACB35-6DEB-4B33-AACC-4B2382B57B68}
59=l2=1 {663CD839-A415-4217-A734-DEC13B605F91}
PosPt=Load.l2=1 {860512D1-DA0E-423F-B8FB-196B1D7E2D5B}
LoadLoc=l12=1 {3C330065-3CCD-47A1-88A5-C5995EA155A8}
LoadPhase=l12_A=1 {C21E6507-7119-45CA-8D1B-EE160129BA60}
59=l12=1 {1B059240-7A07-4920-B51D-8341F44CF006}
PosPt=Load.l12=1 {17836336-E85D-48EA-94CE-FD115A53EAA8}
LoadLoc=motor=1 {2120BF09-01B2-4EC9-AE2D-823EAB59A16E}
59=motor=1 {F24F560E-B138-4B24-BCA0-5414C514C10A}
PosPt=Load.motor=1 {F260FCAB-B4F7-4112-B2E4-7E1E955F00FF}
ZData=556mcm=1 {606985BC-3500-431E-ACCE-DE6716229EE8}
ZData=556mcm=2 {866B498A-B9EA-455D-A7CC-C9C864F1D51F}
ZData=556mcm=3 {22A8891A-BA3E-4C6B-88D9-F5D372EF905C}
ZData=556mcm=4 {A89A8834-4055-4B91-8DA9-FA50C35B7B62}
ZData=556mcm=5 {6E459B2D-411F-4128-B08B-BB920294365E}
ZData=556mcm=6 {0D9C6CEF-BEDA-43F6-9EFD-1BE68D84566F}
ZData=556mcm=7 {9018A3EC-DE51-4BFF-886A-27C7B892FF8F}
ZData=556mcm=8 {1DE7C690-4719-43B0-8FE3-4723A2B8A520}
ZData=556mcm=9 {B4F7A9C8-655C-4E07-B62B-10A97C4B6C17}
ZData=556mcm=10 {22D0824D-291B-40D7-9820-596A042A62C6}
ZData=4/0quad=1 {76DF5B49-687A-4784-B552-E961FC89B90F}
ZData=4/0quad=2 {B7DC3DC2-3277-4F96-83EC-B8DC6D6D4E0E}
ZData=4/0quad=3 {ABD820C9-04E5-4197-898F-F1CB43BD1598}
ZData=4/0quad=4 {149920C6-6175-432A-877E-83E94E7BCDCB}
ZData=4/0quad=5 {E4E94DF6-FC31-4B50-B30E-C2851953ADD7}
ZData=4/0quad=6 {AB5122BC-BB0B-4230-8BCA-6C075E3D7DD5}
ZData=4/0quad=7 {B1B0A8A1-AD3D-4674-87D2-787519A82D18}
ZData=4/0quad=8 {C3749973-1FD8-41FE-AF9D-45EB4B24AC7A}
ZData=4/0quad=9 {97A1242D-87ED-48C1-81A7-A58B8E5E0099}
ZData=4/0quad=10 {A426E37F-9351-427A-A2F9-CED252C85E1A}
NormAmps=OpLimI_2.3_3.1=1 {CBB825E9-53C8-4DD3-A2A2-FB1929AD9916}
EmergAmps=OpLimI_2.3_3.1=1 {45B41C0C-D18C-418E-A027-7A6C21CB680E}
NormAmps=OpLimI_1.5_2.1=1 {27544628-9346-41F8-BF98-D93F5B4D1B9D}
EmergAmps=OpLimI_1.5_2.1=1 {DC4A7F3B-4003-4AB6-8275-7FE17513F3D0}
NormAmps=OpLimI_400.0_600.0=1 {82099ED4-075B-4C57-A3A4-B939C71B3741}
EmergAmps=OpLimI_400.0_600.0=1 {6CCD4C77-7CC0-4BFF-A915-BE349D2AF8C9}
Bank=Xfmr=0 {AD7EE544-9A25-43A3-97E9-F137A72114D5}
