Circuit.yybal {AA782F4B-C424-4D54-AE39-9E6B108A7E0A}
WdgInf=ct2000=3 {47A53682-3F86-4F82-BD65-060F639052EC}
OcTest=ct2000=1 {5CE89887-88E0-4903-B71A-47D9D56D68D4}
ScTest=ct2000=1 {C4190A68-5016-4188-B0E9-6E20DE704720}
ScTest=ct2000=2 {446FC76A-B3FC-43D3-A54A-4BD28A5CB0A7}
ScTest=ct2000=3 {B1B287BD-3E52-4664-98A0-58971AF2C7EC}
TankAsset=ct2000=1 {5A6CE8D5-47F2-4BDC-9E26-A711A46883D3}
Bank==t1=0 {40D2D62C-4280-4555-83DB-6DCE44ACD628}
XfLoc=t1=1 {B79A9136-7703-4115-93ED-4130EF3EC99F}
PosPt=Transformer.t1=1 {24D61BC2-4E0A-411F-AC7D-2CAE2282CAE8}
PosPt=Transformer.t1=2 {8B324434-4FFA-4F1C-9403-48D8D94E731B}
PosPt=Transformer.t1=3 {772D0051-C190-4D1A-9586-8AD24F11A917}
Wdg=t1=1 {99922B94-6845-4159-B7A0-FF54C52D59AF}
Wdg=t1=2 {428F81DE-DF88-4862-8AAD-0C3B22CB553F}
Wdg=t1=3 {C33C1C1E-7B18-45E2-A0E0-4239CE74C308}
XfCore=t1=1 {803DACF9-2A2D-4469-90FD-A22E27CF5982}
XfMesh=t1=1 {4F4592B9-4AF5-4AB9-9063-5FE5C3F807F0}
XfMesh=t1=2 {560EECCE-1374-4CB2-AA70-4E6EF5F24B11}
XfMesh=t1=3 {EB0BE774-E2C3-42E1-9D9F-D79B4C4D4F61}
34=t1=1 {9815B3B9-2B97-425D-BED3-935BF21611BE}
OpLimI=OpLimI_305.6_416.7=0 {83C80111-76DA-4F5E-903E-B8BFF5EB6A5F}
34=t1=2 {E356470B-87E4-4833-86C8-9A57B1DCD9F7}
34=t1=3 {04F9B312-1289-4748-B5A0-13AA4D6D7283}
LineLoc=line1=1 {AC649A1E-5910-441C-B77C-77D7C1AAF130}
LinePhase=line1_A=1 {B2B522B8-7DE6-4EFF-9300-30F80D6468D8}
LinePhase=line1_B=1 {84D4B620-AE52-4017-902F-14D6F3E03249}
LinePhase=line1_C=1 {6DD1A79B-BFE1-4D0C-9E83-52456753F273}
LinePhase=line1_N=1 {47E7D12C-CEA0-46F3-8094-31022D996A45}
50=line1=1 {731038D9-6FD7-48A3-9E7B-8556D245C4C4}
50=line1=2 {62B191DA-513D-43EF-BA76-2FC9BE581B66}
PosPt=Line.line1=1 {DAE5DE11-FBB0-4E38-97F1-E9A5E6BA9EA4}
PosPt=Line.line1=2 {8FC0D8F7-4683-45B9-A57B-C60B49BA1DB9}
LoadResp=ConstkVA=1 {62BC1968-7F74-4527-ABBA-62F318E6548A}
LoadResp=ConstZ=1 {47AB1CB1-2A18-4AF3-9D87-7300969945D5}
LoadResp=ConstPQuadQ=1 {0F2C4010-8354-49BC-9E3A-BA1960DB3787}
LoadResp=LinPQuadQ=1 {97ABE319-54AE-48CD-A2DE-761A90ECABDE}
LoadResp=ConstI=1 {D4522FA9-2C70-4833-AD5D-840294152F86}
LoadResp=ConstQ=1 {4434A466-8C6D-448A-A159-3EE0CEA7432E}
LoadResp=ConstX=1 {B9162BC4-7234-414A-8A53-1B998D0C55FD}
LoadLoc=house1=1 {EAB8A5FC-23A3-43CC-B88F-0AD1BF5CEC2E}
LoadPhase=house1_s1=1 {743BDC72-1468-4464-8294-020A8508F870}
59=house1=1 {F121A784-A482-4D8F-9CB6-6F8D26A757B9}
PosPt=Load.house1=1 {29CDC2D7-7DD3-418C-A4D2-9869B6AA7C16}
LoadLoc=house2=1 {834765C8-1283-44D2-9F64-7B5240A9F118}
LoadPhase=house2_s2=1 {FC1AC5DA-AB13-4502-B0B3-1151AE10C959}
59=house2=1 {CE9126B8-9BC2-48C2-B8C4-CEAED51231B3}
PosPt=Load.house2=1 {6DD6DBAC-1DEE-428D-B0FD-A1E186A2268D}
WirePos=WP_4wire_1=1 {C85770E8-A6FD-42D2-BB07-E31F99B4EF60}
WirePos=WP_4wire_2=1 {37FF46B7-6ECE-46FB-9BF5-FC754DBF90E0}
WirePos=WP_4wire_3=1 {E7989993-79D9-4EF8-88DB-53A3A382E2AA}
WirePos=WP_4wire_4=1 {7D6094C7-D15E-477B-AA95-B5F48D6192F2}
NormAmps=OpLimI_305.6_416.7=1 {4BEC39A4-7C20-45B6-A27E-D7AAC5F681BD}
EmergAmps=OpLimI_305.6_416.7=1 {639D6E12-EE09-46ED-9578-77B66656E001}
