Circuit.ydbal {D09B6037-6236-42CA-AA11-811FE941AF5B}
OpLimT=BLo=1 {BC9A27C7-67E1-4A98-9B74-D3158749A0D5}
BaseV=BaseV_12.4700=1 {71142844-C492-49FD-A83C-2CE768078C37}
OpLimV=OpLimV_12.4700=1 {E7EB5A09-B412-4AD2-A97A-AF611958910D}
OpLimAHi=BaseV_12.4700=1 {CA8D141A-588F-4ACF-B3FC-4F0A3C0A777D}
OpLimALo=BaseV_12.4700=1 {C0211BC3-A0A1-4F33-BF62-B4CDF12A2D9C}
OpLimBHi=BaseV_12.4700=1 {80EF512E-A34F-4554-A937-7CD21E7BC02E}
OpLimBLo=BaseV_12.4700=1 {2003F95D-7D77-49DA-9B5D-D949BBDE37F4}
BaseV=BaseV_4.1600=1 {D0ECB651-6262-4517-973D-BDBC19A6E87F}
OpLimV=OpLimV_4.1600=1 {1F9AF138-D3F7-4C14-BCB7-8737C699064C}
OpLimAHi=BaseV_4.1600=1 {E9AA96F6-80F6-41B0-8E72-BFA645F42808}
OpLimALo=BaseV_4.1600=1 {A7E1FBEB-B3BC-4D0F-A100-9CA8AAEB34A2}
OpLimBHi=BaseV_4.1600=1 {2EF82F39-51AF-4D36-AD3A-69AB501635E4}
OpLimBLo=BaseV_4.1600=1 {5586FB79-E885-4E54-9856-6B51E5CEC99A}
Topo=sourcebus=1 {8F39ED20-4F15-48A7-A4B1-D821D9AC0152}
Topo=n2=1 {82899E00-2FA6-415A-97AD-B42608FF6773}
Topo=n3=1 {5F8847B6-56B5-4ADF-A0B1-28353D19ABC9}
Topo=n4=1 {DCB25411-A996-468F-909E-AC923A0468AB}
SrcLoc=source=1 {EBAED6D5-1EE9-4ADF-96B8-5C2013FFEBB6}
25=source=1 {7E6DA890-0082-49B7-9819-804070CC6638}
PosPt=Vsource.source=1 {EE0C2031-A49A-4616-AD84-BD6DD2D54A8E}
Bank==t1=0 {FA330067-6831-4D13-857B-FFDE2D840917}
XfLoc=t1=1 {3EC8CAC9-856E-4973-A75E-757545C40374}
PosPt=Transformer.t1=1 {9C5FD228-1112-41D1-B2FD-2A256A747AEA}
PosPt=Transformer.t1=2 {B93A6EC8-3E72-4AAA-9A5C-86EFBD4FB70D}
Wdg=t1=1 {DC558BBF-CF2E-48B8-8EA5-A3A8E981D542}
Wdg=t1=2 {1D3F9971-534A-4E2A-B8CD-8FEDE4D7BB1C}
XfCore=t1=1 {BEB7F50F-0AAC-4A16-A0E9-BE4538DBD8A5}
XfMesh=t1=1 {4CDEEAEB-AE14-41EA-8B64-13A0C963F454}
XfMesh=t1=2 {5FCFA8DB-FB43-4583-B42B-43A0C13B9373}
XfMesh=t1=3 {062453C4-1B47-4117-A147-F39F50A7D4A5}
34=t1=1 {48246F4B-8037-4188-9CD6-C79314E90DE2}
OpLimI=OpLimI_305.6_416.7=0 {F6424E86-D70E-41ED-B71F-3125C8F5FB23}
34=t1=2 {89E742A7-A61F-40DE-A809-03F821523FC4}
LineLoc=line1=1 {2A1B81A6-0161-44D9-9E0A-4379D3743534}
LinePhase=line1_A=1 {BFE10480-349F-4267-BB52-3DAE3AEDCDD1}
LinePhase=line1_B=1 {534F4121-6A03-4995-9EC5-A72E91F6BC45}
LinePhase=line1_C=1 {27BD92E9-2EBD-44B8-952F-B65BB81DE414}
LinePhase=line1_N=1 {CDAC778D-F3EA-40F9-9F86-78449A1402DA}
50=line1=1 {41A93629-9E02-4DDF-ABCC-4E32B6398054}
50=line1=2 {AD04182E-BF67-4B18-BE62-03A9F667DEE3}
PosPt=Line.line1=1 {12A80472-7738-4916-9E47-DD4FB07742F7}
PosPt=Line.line1=2 {98561F5E-22E6-4AC8-9310-81FF32844DA9}
LineLoc=line2=1 {BD11ADE8-9EF4-4013-BBBD-853DCFE54987}
LinePhase=line2_A=1 {23CB664C-3D0B-4385-B0DE-BC87D5C337D1}
LinePhase=line2_B=1 {76339BA2-A9C7-4B68-B9F8-EB320D20A94F}
LinePhase=line2_C=1 {6B3D54B4-4681-4CCE-A715-DD8EF86F2CC7}
50=line2=1 {21C6D846-7B19-4414-957A-2A76E6FE4FEE}
50=line2=2 {12F4B17A-496D-47D7-8C0B-508994BD8D5A}
PosPt=Line.line2=1 {70225857-2F96-453B-9586-772174C421F6}
PosPt=Line.line2=2 {F0456D24-5304-4E1F-BA17-5D44984FBB2F}
LoadResp=ConstkVA=1 {43D8C14C-0022-4092-97E0-5666E7E7F9B7}
LoadResp=ConstZ=1 {49E8A2C3-8834-42CC-90CB-97F33448A517}
LoadResp=ConstPQuadQ=1 {88CB94C2-91D4-4F7C-90FF-7DF52EB3EBA2}
LoadResp=LinPQuadQ=1 {9CB8D3B5-EE2E-44E1-9612-18F00F1AF5DB}
LoadResp=ConstI=1 {ED1478A4-5A0B-4F20-85C6-E4AF82B21EFC}
LoadResp=ConstQ=1 {3FF5F2C7-E655-4151-BB72-5A6BB202E3A8}
LoadResp=ConstX=1 {E8666E79-0937-4021-AC76-807F971C9BC1}
LoadLoc=load1=1 {C01625C1-7330-4CE9-80C7-1D41E3681243}
59=load1=1 {E5A0BB47-7EDD-4BAE-A912-9959990FB647}
PosPt=Load.load1=1 {CA424D42-D956-45DC-A6D5-A12C3645321B}
WirePos=WP_4wire_1=1 {DA81DD41-C39A-448E-83A3-687E2678FBB6}
WirePos=WP_4wire_2=1 {CE3DE9F9-05D2-495D-9A47-D45B600F49CB}
WirePos=WP_4wire_3=1 {54A4214E-95E5-4E9E-99B1-1A7C08EA576A}
WirePos=WP_4wire_4=1 {642D772D-B695-4931-85C3-A0F7239B4121}
WirePos=WP_3wire_1=1 {8F56D8AC-03A4-43A7-8D0F-811CE502FE72}
WirePos=WP_3wire_2=1 {9D47F9DE-B68E-4E79-A316-27E3E8A684CA}
WirePos=WP_3wire_3=1 {553C051F-9DAB-437F-8939-6C7F1A33B68B}
NormAmps=OpLimI_305.6_416.7=1 {B710BAAA-9227-43E5-953E-C3235E8EBE6E}
EmergAmps=OpLimI_305.6_416.7=1 {9F7DE01A-47D3-424F-B71D-F2BE7F0FEB44}
