Circuit.oyodbal {FE17C848-D906-499B-8EAD-F0ECF1F8A2AB}
XfMesh=t1=1 {F7E6464F-6C82-4F8D-8D43-34FE9F51DA2F}
XfMesh=t1=2 {103DA5A2-1F51-4294-8E30-DB2FD314D552}
XfMesh=t1=3 {68390042-5AA8-46CC-9C15-9E2B654EBCB5}
34=t1=1 {B7D28DFC-E0D9-4697-8F7C-2D03DFCA0EDB}
OpLimI=OpLimI_305.6_416.7=0 {4DC96CAC-B252-4261-BD5B-FAE09EC0791D}
34=t1=2 {C6877769-CCEE-4EA8-AD13-1EF7CE59DC96}
XfLoc=t2=1 {019788C6-44F2-424B-AFC2-57F9BF8A9FC8}
PosPt=Transformer.t2=1 {501E443E-A6E7-4B40-A1F7-FA6E527604A8}
PosPt=Transformer.t2=2 {DD985078-D185-4747-9A36-A2D181E59F21}
Wdg=t2=1 {65A940BD-F8DE-491B-863F-B33347C95B59}
Wdg=t2=2 {646A65DC-9296-4301-9AFD-0FB06F5C54A8}
XfCore=t2=1 {D47E926B-E845-426C-8BE3-DE434D934899}
XfMesh=t2=1 {C1735529-782A-4B09-A2D5-318E174EB270}
XfMesh=t2=2 {57F2CDC4-9A1A-41F1-8F92-6E8789A1D22A}
XfMesh=t2=3 {ACD13EC9-DEC6-4389-87AE-8DC12B1A3E8E}
34=t2=1 {960D44B6-5ED9-496A-AA6B-36DC3899700D}
34=t2=2 {8876B11E-2049-4E3A-9AA2-9B5BB22960A6}
LineLoc=line1=1 {4FF555F8-31C3-42F6-AD7C-F34FC7C5E65F}
LinePhase=line1_A=1 {A92D51E3-8CFB-4DE1-9D2A-D25EC35AE5C6}
LinePhase=line1_B=1 {B607A41D-C5A9-4494-9991-D6DC96A8326E}
LinePhase=line1_C=1 {2A75CB99-2BC8-42FA-9B9A-EFBEE5A201BD}
LinePhase=line1_N=1 {BCB3561C-CDC5-4603-B5BB-FE15962590A1}
50=line1=1 {E35390F9-4CA5-4905-9A68-94D19955E2F3}
50=line1=2 {1A7F9A5E-A029-42CC-9949-3061A0C1792C}
PosPt=Line.line1=1 {A53D7F2D-DF4D-475D-AABE-F4A0150EC792}
PosPt=Line.line1=2 {3E39873B-EB5A-4E26-A92B-1814661F9182}
LineLoc=line2=1 {87C128F1-90F2-4D18-8AF0-6D718CC859F5}
LinePhase=line2_A=1 {C422379D-903F-4AA2-BAAA-AB5872817DF7}
LinePhase=line2_B=1 {54433BD5-9557-4E1D-9B6B-052B19085C73}
LinePhase=line2_C=1 {5AD7C66E-AD52-48CA-A59A-65BD49D91121}
50=line2=1 {F3BD7C14-4023-4DC6-A36F-6552A29D0395}
50=line2=2 {E3CDFA6C-4FCD-4368-8436-78D892B56760}
PosPt=Line.line2=1 {AFBD23B5-170F-446F-91D8-03EE0375C238}
PosPt=Line.line2=2 {24480412-92B8-4A62-8377-0E0F29FE6413}
LoadResp=ConstkVA=1 {457EC2E4-6B5C-450D-9367-CB8AC3E6C8AE}
LoadResp=ConstZ=1 {74149BAF-32C5-4CF5-831D-9FA39272A80F}
LoadResp=ConstPQuadQ=1 {0ED14D82-1F1F-45B8-8494-B3620A340421}
LoadResp=LinPQuadQ=1 {DB067346-CE54-4549-8A7E-7FB59BE053CD}
LoadResp=ConstI=1 {081EA1CD-F91B-47BB-B8D3-39810434B84B}
LoadResp=ConstQ=1 {89A03368-4500-4C17-9995-257F521F396C}
LoadResp=ConstX=1 {77E87CEA-90FD-42BD-A423-78C6F969CBBA}
LoadLoc=load1=1 {A7A741E1-5421-4B9E-AFA6-5B702BFF573F}
59=load1=1 {7950D0DC-CA54-4D3E-A5D7-3E81F8B8F212}
PosPt=Load.load1=1 {6860BF9D-2985-4906-932C-6AEA28F19949}
WirePos=WP_4wire_1=1 {896700A3-364E-44A3-B432-F97B3C8741EA}
WirePos=WP_4wire_2=1 {CF3D9696-2833-4AAD-AFD6-9CAF285DAAE8}
WirePos=WP_4wire_3=1 {99C45DFA-5EAC-424F-8041-A1F651556990}
WirePos=WP_4wire_4=1 {CAB42216-3E27-41BA-AC5F-3F61CEB2A7EE}
WirePos=WP_3wire_1=1 {55C3BAD6-34D5-4E81-AF0E-0F67B4C09057}
WirePos=WP_3wire_2=1 {0DD8D2FC-8688-4F8C-92AC-CF1B8893AB39}
WirePos=WP_3wire_3=1 {040F4631-2CF5-43BF-8ADC-DF8E88B37A50}
NormAmps=OpLimI_0.2_0.2=1 {08B8F485-411D-45CC-879F-864D134078E7}
EmergAmps=OpLimI_0.2_0.2=1 {0BB26A1C-A992-47A1-9222-33C43E91ABBC}
NormAmps=OpLimI_305.6_416.7=1 {8588A2AE-B97A-475F-B86D-C5474AA34E78}
EmergAmps=OpLimI_305.6_416.7=1 {0859CC71-864F-4B23-BCC6-DC4B8F1855E1}
Bank=Xfmr=0 {54E36178-85F1-4A77-8772-D55B3D262DFC}
