Circuit.yydxn {2921AE75-39A1-40D1-98DE-8E7BE5DC3A66}
TopoIsland=Island=1 {42F154C0-31D7-4BB0-B90D-4B044B7AF70C}
OpLimT=NormalAmps=1 {6FE08FE4-FCA9-41CB-A047-55C8A9C212A2}
OpLimT=EmergencyAmps=1 {9A367C47-B9F9-484B-A225-6D39CE249073}
OpLimT=AHi=1 {7B5BA49A-CF62-4E58-BD0E-B1D09CBC9CD5}
OpLimT=ALo=1 {12432FF7-6B7D-4BCF-B77A-E8D85DF750A9}
OpLimT=BHi=1 {2E6F464F-2C0E-42CC-A1E3-9B3A99534804}
OpLimT=BLo=1 {F4EB0B42-DFB0-4C57-B1DD-7AC694C5650D}
BaseV=BaseV_69.0000=1 {DFAA001E-3367-4683-A715-01D639CF2B97}
OpLimV=OpLimV_69.0000=1 {40740D5D-46ED-4AC9-9227-07B008AB30DD}
OpLimAHi=BaseV_69.0000=1 {BAAF8D63-ECF4-47D4-A252-C41F3FD4FFBF}
OpLimALo=BaseV_69.0000=1 {29973BD2-0063-4F48-9747-6066B2D4FD7D}
OpLimBHi=BaseV_69.0000=1 {A4E753F4-D5E0-4E64-91E0-7EE235BA3F42}
OpLimBLo=BaseV_69.0000=1 {B73653CD-6C00-4E78-8D54-EA89609AAC7E}
BaseV=BaseV_13.2000=1 {516A427C-3DC9-40FE-859A-84968D607DFF}
OpLimV=OpLimV_13.2000=1 {86CD67ED-CEE6-4FB4-BF40-487AF50FA6CA}
OpLimAHi=BaseV_13.2000=1 {3B84FA79-CE89-4F3F-AA98-6E84ED67B2FF}
OpLimALo=BaseV_13.2000=1 {4DB600E3-F7D0-48D9-AC3B-7ABBEF6533B3}
OpLimBHi=BaseV_13.2000=1 {F1ECCF0C-F5CF-4E19-9D9D-10BED9E40C39}
OpLimBLo=BaseV_13.2000=1 {E96ADB7C-46D7-4AFE-AF91-FBC1C0EEF007}
BaseV=BaseV_2.4000=1 {2F52BDBC-1F28-4768-A11D-6CAF58984B18}
OpLimV=OpLimV_2.4000=1 {863695C1-4E15-4931-9D83-967A197E3C07}
OpLimAHi=BaseV_2.4000=1 {53D31188-F858-4A19-9368-E8646E642E1E}
OpLimALo=BaseV_2.4000=1 {9586CFE7-9DE5-407F-B451-9128355B619F}
OpLimBHi=BaseV_2.4000=1 {4FF40888-7617-40F5-9E83-12D983E8C4C1}
OpLimBLo=BaseV_2.4000=1 {5F4AD1F9-5B7F-4D1F-86EC-741A01DCED5B}
Topo=b1=1 {A637EF0F-7EB0-41A4-91A5-E2556C10F640}
Topo=b2=1 {5B2FE0AE-7B50-43AB-811C-1E08DDD250B1}
Topo=b3=1 {6A44D8C7-65C7-45AA-A141-DCC80BBDC955}
Topo=b4=1 {2E714A78-2A50-468A-A927-0087A3DB0917}
Topo=b5=1 {8DA43166-ECBD-4599-9601-E8BC9FAF1A49}
Topo=b6=1 {F3E5A7CD-00F1-453D-A534-6272AD3B3817}
SrcLoc=source=1 {A7C9F225-329A-4124-BE7F-AD62B72CCEBA}
25=source=1 {95C12EC8-5305-425D-82D0-129B48120D50}
PosPt=Vsource.source=1 {E61B3041-835A-43AE-8393-F5C6D03EEEA0}
Bank==yyd=0 {5C519218-3D9F-46DC-8DCA-E2B53E529068}
XfLoc=yyd=1 {42E4DA45-DD7D-4CF3-A19D-70D6D31136CC}
PosPt=Transformer.yyd=1 {F3B4F077-6FA7-4A2B-B424-D57059BA735B}
PosPt=Transformer.yyd=2 {17792232-6D66-4B72-BFCF-24FA37321ADE}
PosPt=Transformer.yyd=3 {57E1B682-474C-4B43-BD5E-CADCF58D586B}
Wdg=yyd=1 {5C8A439A-56CF-4A5B-8617-CA4D3E6B7713}
Wdg=yyd=2 {BCB23BFC-0B13-41B9-8E18-6B2814889201}
Wdg=yyd=3 {8F0DA67C-6E30-48A5-B652-4E22C620F3A7}
XfCore=yyd=1 {4295DD0A-1F2F-4A3D-AF17-2855A958878E}
XfMesh=yyd=1 {0D2CE998-5FE2-4E5A-8E01-FCDD85828251}
XfMesh=yyd=2 {5F32A013-7DB9-45ED-A2E9-E3231D7157A6}
XfMesh=yyd=3 {89D44B68-D4EF-4AD1-A9CD-11792097A831}
34=yyd=1 {77FE8419-4EF3-48C8-8E29-48351880F82A}
OpLimI=OpLimI_138.1_188.3=0 {EBD911E8-7B2B-441F-ABDE-67C026E6C468}
34=yyd=2 {F52D8294-60D1-45A5-8E0F-6629DD20943F}
34=yyd=3 {BAE323BF-9860-4631-B806-B8DF201DC9BF}
LineLoc=tline1-2=1 {86DB4F2F-FE05-4836-BF0B-A8430256A6A0}
LinePhase=tline1-2_A=1 {D2BE6ABE-2314-4249-9874-42AABD391FB7}
LinePhase=tline1-2_B=1 {C4614149-8427-4B37-AF07-E0FF3C42A0D4}
LinePhase=tline1-2_C=1 {83891272-7336-4BBA-9485-1F2124000495}
LinePhase=tline1-2_N=1 {B1C9F361-C00C-4D47-9584-10AB9F2A7BAA}
50=tline1-2=1 {626D1415-F814-41DF-88B3-A18C6E6E991B}
OpLimI=OpLimI_530.0_795.0=0 {D3999963-4BF8-4645-85EF-5F765B954BA9}
50=tline1-2=2 {BA7583FE-616D-4BED-9638-FBAA55A348B8}
PosPt=Line.tline1-2=1 {47A68C6F-8F40-4766-A51B-175DACEAEE50}
PosPt=Line.tline1-2=2 {A440BE5A-C06F-4AF4-9547-56F1FE0A706F}
LineLoc=dline3-4=1 {581DF0DB-F667-4E1D-976C-558934AB83C0}
LinePhase=dline3-4_A=1 {851BDC25-482D-4727-BEA2-15E725114F4A}
LinePhase=dline3-4_B=1 {70C63474-04D8-4F31-9358-F439BB81A0BB}
LinePhase=dline3-4_C=1 {0661518E-A887-4980-AE48-C04D328D3668}
LinePhase=dline3-4_N=1 {D8E85CB7-0D69-4C57-8189-5592C0E9D946}
50=dline3-4=1 {B9B89794-FF0A-41D1-BCA0-8644D6486EAE}
50=dline3-4=2 {A98644BA-6688-49F4-B2D0-CF34505A8B5A}
PosPt=Line.dline3-4=1 {4383D052-4C44-4AC6-8D5F-96FE6C62F33F}
PosPt=Line.dline3-4=2 {11A33845-604E-493B-93B9-051BD08FB044}
LineLoc=dline5-6=1 {374411AE-4BA7-4CC7-9BFD-1A02E573A545}
LinePhase=dline5-6_A=1 {42EBC3A3-187B-44C1-8244-7730226B81F0}
LinePhase=dline5-6_B=1 {2EC61762-9D1E-419F-B34B-8747312AD025}
LinePhase=dline5-6_C=1 {84086F3F-E6F6-4649-973C-CB239DA8A461}
50=dline5-6=1 {9F20D195-2705-4009-AF1F-04E18C434D65}
50=dline5-6=2 {56D1503E-8CB8-44F2-9C74-0F51B81C5101}
PosPt=Line.dline5-6=1 {1567F7AD-A932-42E3-BB55-C146CE9331B1}
PosPt=Line.dline5-6=2 {34E4A349-4C79-45FE-92AC-A27E99A3A533}
LoadResp=ConstkVA=1 {508B9337-8169-488D-A48C-4002863D1992}
LoadResp=ConstZ=1 {E04CC9D2-D2BE-4C54-A561-E5EAE7AF52C5}
LoadResp=ConstPQuadQ=1 {4DB389CC-D5C2-4C43-AB5B-1A4AB182DF66}
LoadResp=LinPQuadQ=1 {EB950BD9-E06B-4678-BAA3-F47E01445427}
LoadResp=ConstI=1 {558CEF5B-B8D7-430D-91E2-AADFF906261C}
LoadResp=ConstQ=1 {7AF08101-26E6-4FF1-AFCE-72EF402C9074}
LoadResp=ConstX=1 {E1495354-4708-4DC0-8B35-F43E0F342504}
LoadLoc=b4a=1 {9EFFB71C-95C2-45F6-B512-5EF2B2B2601D}
LoadPhase=b4a_A=1 {286E6299-5A21-49C4-ACFA-8A899D211861}
59=b4a=1 {A52FD373-C7D1-4290-9F77-464F8FA00C38}
PosPt=Load.b4a=1 {525AF382-8E96-4C95-9FC7-086BFB9AAB63}
LoadLoc=b4b=1 {EB8E5B50-AAC5-40A3-9569-8554AE46C0FF}
LoadPhase=b4b_B=1 {D6BBCBD2-AA0F-46E7-BCCC-6C0C627F6A4E}
59=b4b=1 {A5FDAEC4-8CA5-46F4-AB47-1CC1D199B92B}
PosPt=Load.b4b=1 {EA2CDCE3-786B-420D-B79B-E0F20E98407B}
LoadLoc=b4c=1 {8745E9C3-1D8D-4564-A161-1F884A9B94FE}
LoadPhase=b4c_C=1 {0A826D60-2E02-41B6-9F40-345726563274}
59=b4c=1 {C866F86C-ED7E-4B00-9266-D830B4E5CC84}
PosPt=Load.b4c=1 {28F06DFF-C4EE-4EAA-963B-9FC5590DCE2A}
LoadLoc=b6=1 {10DB5FFD-E462-48BB-B38F-D612E5C10676}
59=b6=1 {A40D30A4-2954-4BD7-B54B-7D34855003BC}
PosPt=Load.b6=1 {0E3CCA28-0833-4E38-BCBD-F7F7DA85E790}
WirePos=WP_line1-2_1=1 {704A381F-E0A0-428E-B571-554E38783964}
WirePos=WP_line1-2_2=1 {A87E7651-51D3-4C5D-BF44-192D838EE34C}
WirePos=WP_line1-2_3=1 {07A1513C-B518-467D-B171-A1C8F0BE4F26}
WirePos=WP_line1-2_4=1 {FAAC2858-7487-4746-A650-BC9AE6D221ED}
WirePos=WP_line3-4_1=1 {8785F5D6-D759-4A56-B201-E435596E0D07}
WirePos=WP_line3-4_2=1 {533441FD-2208-413D-AC9E-B287F40F8507}
WirePos=WP_line3-4_3=1 {96771F70-6517-492F-8A70-71FE2D7D8CA6}
WirePos=WP_line3-4_4=1 {74C98726-C0AA-4FD6-9ED0-69D248611365}
WirePos=WP_line5-6_1=1 {3ED8D704-2851-4FD2-83BF-5804271B1F76}
WirePos=WP_line5-6_2=1 {F2D80873-B9E5-49FE-8DBC-09BBF82D0CB2}
WirePos=WP_line5-6_3=1 {349A9F11-B8F6-49F6-B123-E727B723494E}
NormAmps=OpLimI_138.1_188.3=1 {FA7FEC13-0468-4B84-9E15-AF7C9A35AD10}
EmergAmps=OpLimI_138.1_188.3=1 {51AEDEA8-B5FB-4765-AEFB-2F7F6403B637}
NormAmps=OpLimI_530.0_795.0=1 {E4FF97B2-68B0-47D8-B096-D1FF3340249F}
EmergAmps=OpLimI_530.0_795.0=1 {1B0FB7EF-02EE-4364-9D8E-0E22BB675E30}
