Circuit.yyd {5F0B3FFA-C2D4-47D6-AB25-54231CEEA4B6}
Bank==yyd=0 {3BFCA8E5-3B43-438A-96DB-C881C83A7594}
XfLoc=yyd=1 {29E9B0B2-63FB-40CD-B3F8-A8747746434C}
PosPt=Transformer.yyd=1 {8206451D-75BD-4528-9D70-F3ED6EB5F66C}
PosPt=Transformer.yyd=2 {3EE1B386-A49C-4109-A650-BC87CB55B28E}
PosPt=Transformer.yyd=3 {DF42D172-5921-460B-A5EC-8C740B532B19}
Wdg=yyd=1 {E69ACAEB-4551-44D9-8631-7D07CCE36F61}
Wdg=yyd=2 {3E177A1B-10C6-45D5-B3C0-B94D5BCA2D7B}
Wdg=yyd=3 {E3063D99-DFED-490E-A6AE-EA6953548B02}
XfCore=yyd=1 {F91085AF-B78E-41D3-91D1-ED6CEBFC286C}
XfMesh=yyd=1 {827CDD16-DA54-4D53-8C92-CBCAB9278742}
XfMesh=yyd=2 {11A335EC-EA1B-49A8-9A0E-25E6C35EEAD0}
XfMesh=yyd=3 {0AFADE1D-B981-49E0-B2EE-8C12D5AF31AB}
34=yyd=1 {9A9F7BB9-D252-40D7-A95F-E49F02199767}
OpLimI=OpLimI_138.1_188.3=0 {BFDA4DFB-B4BC-4CD9-B67F-30B408FF49E8}
34=yyd=2 {F020FB27-F31E-4828-95A5-874C12304E57}
34=yyd=3 {5B7B08F0-89FA-42C0-99DF-C1742991C2BA}
LineLoc=tline1-2=1 {1C2D7E4F-E29E-42AB-8262-0554429B15B1}
LinePhase=tline1-2_A=1 {15FC08AF-F766-42A6-ACE3-32C28F77AFA5}
LinePhase=tline1-2_B=1 {129F799B-4B1F-4456-858B-891C2398AAAB}
LinePhase=tline1-2_C=1 {76671D6C-C30E-419D-A985-4ED8E80FC3CA}
LinePhase=tline1-2_N=1 {9B54F374-50C3-4189-B746-B991EFE13535}
50=tline1-2=1 {F2EFA928-4FCC-48FC-B7D0-484C4C4A6DA2}
OpLimI=OpLimI_530.0_795.0=0 {9FDCF42F-5A64-40D5-9AB7-C3A1D7CC6978}
50=tline1-2=2 {4340E949-E3E8-43A0-81D2-F8B970470E6A}
PosPt=Line.tline1-2=1 {D1C75176-2B6C-483C-B9E0-5C7FDB062C69}
PosPt=Line.tline1-2=2 {5C8AEB68-649E-458C-99C8-FC414FFA51D5}
LineLoc=dline3-4=1 {7E199B11-C5BE-4212-8289-71EE56B9D221}
LinePhase=dline3-4_A=1 {05D05EB0-AF6D-498B-BF3B-536F563875A2}
LinePhase=dline3-4_B=1 {42272B5A-2A5D-4010-8DA5-95E48CA39065}
LinePhase=dline3-4_C=1 {F4D09C43-71C7-4252-93BB-3AD9466290EA}
LinePhase=dline3-4_N=1 {3A3F7EE4-D568-44FE-BD89-FC37DCAE4941}
50=dline3-4=1 {0836B4AE-2E66-4F1E-B22C-49D5578B452E}
50=dline3-4=2 {7A52EA6E-61F7-48EC-8A7F-0E30CB86D8BB}
PosPt=Line.dline3-4=1 {733C0591-DB35-4292-A04F-F3A2C02E3EB2}
PosPt=Line.dline3-4=2 {A6531569-7568-4F3E-BECB-E39245EBCE53}
LineLoc=dline5-6=1 {E57AD692-BB46-4032-A180-43AA53D56223}
LinePhase=dline5-6_A=1 {863627BA-BB6C-421E-BF6D-1E7E75F25D97}
LinePhase=dline5-6_B=1 {BAB66286-784A-46F0-8CE4-C1B8877D5FB5}
LinePhase=dline5-6_C=1 {7B71837D-0DEA-49CD-AB29-A18965B7BF96}
50=dline5-6=1 {D1B632AA-4B8E-48C3-A242-708337B8D614}
50=dline5-6=2 {79E163EC-E5F8-46BF-BE3D-CB1DC09A74E9}
PosPt=Line.dline5-6=1 {27730E97-F722-491E-9CB9-F7474EFA01E1}
PosPt=Line.dline5-6=2 {99306BB3-22FC-4F77-806F-B81AB67601AA}
LoadResp=ConstkVA=1 {64B29A73-7446-41BF-A083-7639C9BA7BB5}
LoadResp=ConstZ=1 {1CE53984-D4F7-4054-A767-21822816E223}
LoadResp=ConstPQuadQ=1 {20344DCB-EBC4-47A9-8BA1-0EAF1B0E7AB7}
LoadResp=LinPQuadQ=1 {7F2289B2-7E6A-4E27-864A-87B1FC51E9F4}
LoadResp=ConstI=1 {F631255B-7505-4312-9903-A27B02DDC1FC}
LoadResp=ConstQ=1 {005D1CF2-748A-4556-95ED-2EC032ABB34F}
LoadResp=ConstX=1 {346CCDE8-74AA-4071-9048-BC4E05F52819}
LoadLoc=b4a=1 {9C14739F-77E0-4EC8-AA94-EE7D2207975C}
LoadPhase=b4a_A=1 {1F3798E7-C561-4C4B-909A-04F0D5313078}
59=b4a=1 {E01244EA-BC2D-4D25-8616-3F18E9457F04}
PosPt=Load.b4a=1 {648010D0-77E1-49D7-9D23-4B78B36E8FD0}
LoadLoc=b4b=1 {98E6497E-6C3D-4A54-A9B8-ACAE43114D5D}
LoadPhase=b4b_B=1 {04C46873-8BB7-478A-8A95-C6DADEEE4427}
59=b4b=1 {A530049D-0EE1-425A-BA8F-0A9C4E37E993}
PosPt=Load.b4b=1 {03BC73E1-1D04-4951-85B2-E33325CE5A81}
LoadLoc=b4c=1 {6ACD4C23-59DE-4E18-9ED0-7EC0B01A2308}
LoadPhase=b4c_C=1 {986AB9AC-B7E3-40A9-A82A-259919E1C0FE}
59=b4c=1 {C323688B-6AF0-4073-90FD-18A470594CF0}
PosPt=Load.b4c=1 {B6088072-054E-4779-B665-C2F09BC0ED76}
LoadLoc=b6=1 {A154BB1A-058F-4059-9FAF-42208B04CD0D}
59=b6=1 {1C9E03D6-3150-41DB-8E9C-DA977B81E417}
PosPt=Load.b6=1 {96A01CA0-9241-402F-8020-F5EC1CBCA389}
WirePos=WP_line1-2_1=1 {4B0E5A70-49F1-4AB8-B68B-856AD61B21F9}
WirePos=WP_line1-2_2=1 {EC62C298-7189-48A3-A83D-6B773814F745}
WirePos=WP_line1-2_3=1 {CA7B59C3-C524-4020-85F2-CB908FEB56C6}
WirePos=WP_line1-2_4=1 {BEA746F3-BC3C-4DB5-A89E-E865046F6A63}
WirePos=WP_line3-4_1=1 {CAC8C5E8-A0B6-47C8-8F16-3BD9CA0EEAC1}
WirePos=WP_line3-4_2=1 {8FD3FD41-00FE-4818-983F-9DE286F6B3A0}
WirePos=WP_line3-4_3=1 {5F89DE39-E576-4B07-8209-E0F31C099206}
WirePos=WP_line3-4_4=1 {808F0619-AA71-4280-B985-0B53EF4FCCA7}
WirePos=WP_line5-6_1=1 {2890D0CC-A382-4A56-8BAB-74F1B59C16FF}
WirePos=WP_line5-6_2=1 {0BEC23BD-95DA-49E6-8782-AC90888DA408}
WirePos=WP_line5-6_3=1 {46BC25A3-28D9-4974-890F-E6FE7E6A88B5}
NormAmps=OpLimI_138.1_188.3=1 {3BA4D2E9-24FF-47F8-8F50-370BC7B7D7B7}
EmergAmps=OpLimI_138.1_188.3=1 {4E2C584A-893C-4248-9BD3-CABFC23026F2}
NormAmps=OpLimI_530.0_795.0=1 {4278983B-F83E-41E2-9F50-C428B66EA285}
EmergAmps=OpLimI_530.0_795.0=1 {7E9491D3-C7D9-4ABA-900A-908E788DB871}
