Circuit.imoyodlead {1D4B98E2-62AB-411A-813E-F125F29ABD48}
OpLimV=OpLimV_12.4700=1 {C7765220-DAE4-4668-84C5-A216431678BB}
OpLimAHi=BaseV_12.4700=1 {BE24D45A-86D6-43D8-91F6-02D6EA315CD1}
OpLimALo=BaseV_12.4700=1 {85D5A836-1ABC-4E52-A2CC-0ED4EDA45FB7}
OpLimBHi=BaseV_12.4700=1 {F0988F1A-DA9B-4AFD-8D2D-92731583BCC6}
OpLimBLo=BaseV_12.4700=1 {C7008A8B-4C11-4BF7-98BA-A7040B6B1154}
BaseV=BaseV_0.2400=1 {2D75314E-7E79-4DC8-98FE-C86530DF69FD}
OpLimV=OpLimV_0.2400=1 {3D4ED2D6-FAC0-4E4D-BCD3-CEDF9FB201D2}
OpLimAHi=BaseV_0.2400=1 {DC69761B-6599-4BAA-843D-27948B84828F}
OpLimALo=BaseV_0.2400=1 {4A5F6ED6-01F8-4367-A31C-11FD78A6AF36}
OpLimBHi=BaseV_0.2400=1 {0D5FD931-6B16-4C12-84DE-D3CFDF3AB31B}
OpLimBLo=BaseV_0.2400=1 {622BA911-107F-41BB-8CD0-866F8A377A03}
Topo=sourcebus=1 {6E64DA43-6F44-4067-82FE-665B195A9D8D}
Topo=primary=1 {F1D760EA-1899-4AE7-A090-DC5DB33D6170}
Topo=secondary=1 {2289A794-39E1-4405-B81F-D4C8B1C7E1B3}
Topo=loadbus=1 {4F0E1A28-2F23-48D3-BEE4-DE74899E7161}
SrcLoc=source=1 {00C24C05-28CC-480F-8289-9E7FC5E382A1}
25=source=1 {09118C93-00CA-41BE-84DD-8C0023B7CC34}
PosPt=Vsource.source=1 {3F482D3F-3625-4E93-BB32-275AB57B6B96}
TankInfo=cimxfmrcode_xfmrab=1 {A08474CB-FF6E-4154-9712-FAB8566DF213}
TankInfo=cimxfmrcode_xfmrbc=1 {59E96FB1-FBAB-472B-B878-4A69B47A8009}
WdgInf=cimxfmrcode_xfmrab=1 {2613F3E9-BB76-48D8-99AF-FB7D6334CB11}
WdgInf=cimxfmrcode_xfmrab=2 {0E8117C4-0220-4D7E-937B-2E25AAA0ED25}
WdgInf=cimxfmrcode_xfmrab=3 {27F546BE-2EE3-4643-94E4-A655A593B30C}
OcTest=cimxfmrcode_xfmrab=1 {0807EF47-6D0A-4A08-B3CE-87464FD0B8DC}
ScTest=cimxfmrcode_xfmrab=1 {E0AFAC95-F05C-4BF3-B203-E19178940828}
ScTest=cimxfmrcode_xfmrab=2 {ECF22C75-6212-4C2F-9B82-0EA614AA1599}
ScTest=cimxfmrcode_xfmrab=3 {5AD75011-8732-456F-8A58-95B6B98D8BF8}
WdgInf=cimxfmrcode_xfmrbc=1 {5453162D-FC0E-4E2B-9BB6-7DFF1929E60F}
WdgInf=cimxfmrcode_xfmrbc=2 {ECE97431-164C-4C5E-B56D-48B340F3B201}
OcTest=cimxfmrcode_xfmrbc=1 {AB882173-DFA0-4A1C-86ED-CC23D44C3D20}
ScTest=cimxfmrcode_xfmrbc=1 {27EB20FE-2751-458C-87BA-010F77ABF7DC}
Bank=Xfmr=0 {D60C5D09-B4FF-4188-BB00-4481C77091C7}
XfLoc=xfmrab=1 {6891C7EC-4129-4C5E-B4BC-A22EF0736418}
PosPt=Transformer.xfmrab=1 {39CA8DBC-C1A1-4B6D-A062-086AD02EA11B}
PosPt=Transformer.xfmrab=2 {12C3FDE0-7D70-44CD-A16E-3EA58829426A}
PosPt=Transformer.xfmrab=3 {5E2AD23F-4F6A-4CD2-AE73-FD2C1F048A92}
Wdg=xfmrab=1 {B58913B5-6790-41FF-8651-5E55B17E3293}
Wdg=xfmrab=2 {E235DFB9-5C94-41AD-855A-4FA6D45F34AF}
Wdg=xfmrab=3 {65B8D697-E74E-43F4-A85D-24A3F07BA3D8}
XfCore=xfmrab=1 {EBB41926-894C-4101-B902-929C1BC82259}
XfMesh=xfmrab=1 {CC145BB2-6DB8-4663-8A85-F28140B7DA3B}
XfMesh=xfmrab=2 {6F3D3E67-5583-4A2F-AB84-5B6892CE4726}
XfMesh=xfmrab=3 {65749FC7-6094-4D78-8952-33D1C65B95E8}
34=xfmrab=1 {91BDC906-3A38-4731-B03F-71F72D00D08F}
OpLimI=OpLimI_1.3_1.8=0 {109C0D08-066A-483D-A447-6508DA317DBA}
34=xfmrab=2 {E6F23429-80BB-4144-B994-CB3FC81319DE}
34=xfmrab=3 {63E492E0-9C5B-4881-AD62-0324131E6030}
XfLoc=xfmrbc=1 {41322320-101A-4D7E-A80B-BF361DAD0DB8}
PosPt=Transformer.xfmrbc=1 {5F05292C-9F7E-425E-BC00-EF048E883478}
PosPt=Transformer.xfmrbc=2 {293360C0-5602-4D8A-BD82-A84B721BA1D9}
Wdg=xfmrbc=1 {CE842D33-2E13-490E-B538-41B39100461C}
Wdg=xfmrbc=2 {0180B86C-00ED-45D7-BE18-CB17BF7DA211}
XfCore=xfmrbc=1 {B9B8B328-1A51-481B-BB4F-1695B9F52A91}
XfMesh=xfmrbc=1 {AC41DCC7-E1B7-46EA-BB1D-7B139A14AAB5}
XfMesh=xfmrbc=2 {3EAF604E-E435-47FC-B656-85AD2DB99B3D}
XfMesh=xfmrbc=3 {048F5434-4749-4932-B16A-3C89DDE42B1E}
34=xfmrbc=1 {1456C6F5-5DB0-4F3D-8A50-7E17375B4745}
OpLimI=OpLimI_0.9_1.2=0 {91C3B413-ACE0-44E1-A171-36DB329BA6E1}
34=xfmrbc=2 {6A377397-B0D6-4DC0-BD8F-8B46C4EB2DB8}
LineLoc=ohline=1 {5CD0097F-8841-47E8-9F60-A21C2222A03A}
LinePhase=ohline_A=1 {A4070100-9B55-4E6F-B678-DF80CF4F9C3E}
LinePhase=ohline_B=1 {BA5C3CA8-9021-4C1F-8EAB-2E1657502D49}
LinePhase=ohline_C=1 {A00A3608-8618-4348-BDCA-7193D8A5DFE5}
50=ohline=1 {8EF5C122-AE93-4924-A1A9-79027585B781}
OpLimI=OpLimI_400.0_600.0=0 {D3478EB5-97F9-48E8-BE67-D4CA8A449DBB}
50=ohline=2 {E27353F2-457E-46FB-B588-620CE01B2B1E}
PosPt=Line.ohline=1 {2545E458-938F-4EAB-B548-E8F634ED344B}
PosPt=Line.ohline=2 {449CC2DB-2E03-4C21-ADA2-40AFF4CCB42B}
LineLoc=quad=1 {B1B3F220-1D97-4948-A7B4-1EDE0836C0A7}
LinePhase=quad_A=1 {2330E1F7-20C8-48E1-823F-B8589BE332DF}
LinePhase=quad_B=1 {E786E3B2-BDEA-4C7D-B85B-E8DD44A04D49}
LinePhase=quad_C=1 {3ECD9359-8E6C-41CD-9BEE-C75080D3A972}
50=quad=1 {A220F104-24FB-4025-A389-11973E5D448D}
50=quad=2 {7C77DA7D-0A28-411E-9171-F34AF2D4A3E0}
PosPt=Line.quad=1 {F789AEE5-8B0B-444F-85C2-CAC1641A14D4}
PosPt=Line.quad=2 {DA84C151-7048-4F97-B3AB-FE16E8779B77}
LoadResp=ConstkVA=1 {0CBB4208-15A6-4B41-83B0-576F9BB13371}
LoadResp=ConstZ=1 {E0EB4D52-06CB-43A4-B513-F713FA3D4F38}
LoadResp=ConstPQuadQ=1 {B9798847-0A5D-4959-9D76-09AF7A753D50}
LoadResp=LinPQuadQ=1 {70EC2A53-2D00-47C4-A433-2C0EFDA1256D}
LoadResp=ConstI=1 {27E7FDA7-7D4D-4564-B102-8C77A70AFC9C}
LoadResp=ConstQ=1 {ACBAFDEC-3A81-420C-AA7A-16BF33B553BC}
LoadResp=ConstX=1 {2FC98B5E-A595-4BF4-82CF-BCE5E99D10A8}
LoadLoc=l1=1 {355099EE-1DAC-4407-AB1B-ACE6D0C697B1}
LoadPhase=l1_A=1 {D93F1DF9-4642-4CDA-A171-557C884C983A}
59=l1=1 {F1D724CD-6E1E-4E0F-944C-7443C4A49540}
PosPt=Load.l1=1 {43D0ADAC-299E-49E0-B4E2-2A1B40FFF49B}
LoadLoc=l2=1 {EE677ADF-7A41-4D4A-8DE5-678D84DD34AF}
LoadPhase=l2_B=1 {281535C4-8D1C-41F2-A72D-9745D901406E}
59=l2=1 {CD5509F7-A46F-489C-BB60-B1D91D890359}
PosPt=Load.l2=1 {DBEF9C29-C12A-4A1D-91D8-8DE6E8BA91DA}
LoadLoc=l12=1 {B87A6AAA-235B-448A-81DE-08178812A66E}
LoadPhase=l12_A=1 {4B508D45-3E4D-46E4-82E6-A1C404CDCF92}
59=l12=1 {35BEB02F-6771-4CD9-95EE-2926AC21E9B4}
PosPt=Load.l12=1 {9D13F326-C2DD-4D2D-88A6-4D014FE0F904}
LoadLoc=motor=1 {EF6FA3CC-976D-40D8-BF40-B7C609709B6C}
59=motor=1 {346BC422-20AB-4CD7-BF37-5D13A1A9EBF2}
PosPt=Load.motor=1 {F83D73D8-B22D-49D1-AAD6-6980FBC1E8CF}
ZData=556mcmred=1 {8F26EF5D-555F-4E91-BBEB-4B85CB822D31}
ZData=556mcmred=2 {AB15A26A-E2EA-4C6F-B90C-B35158436C9B}
ZData=556mcmred=3 {E3BF0210-1C7F-4076-88E7-DF342558E079}
ZData=556mcmred=4 {9604EB1E-B172-4698-9C27-F3FC41A290A3}
ZData=556mcmred=5 {2231321D-0E76-47C9-9AFA-01F38F964E95}
ZData=556mcmred=6 {90314DA5-56FA-46F8-A8F8-161181C0C0D8}
ZData=4/0quad=1 {00F4D851-0CCD-4037-A809-8871AE0316F3}
ZData=4/0quad=2 {95071710-9DE7-4080-9BBC-27D8C599DF36}
ZData=4/0quad=3 {035121E6-79F8-40AA-AA19-7DA9CEA121B1}
ZData=4/0quad=4 {1C13D830-18C7-42B2-B346-61F23DAD8F7E}
ZData=4/0quad=5 {8F32FD99-79D3-45A8-8A2A-41A55A5B682B}
ZData=4/0quad=6 {91169935-3573-4863-93A8-46252F1FE808}
ZData=4/0quad=7 {F80F8B0A-D651-431A-88D4-C833D8F325CA}
ZData=4/0quad=8 {2FC29ABC-1DF9-41EA-900E-7C3EA6A07B69}
ZData=4/0quad=9 {1E171F41-2588-4386-8948-4FCF6E56756C}
ZData=4/0quad=10 {C606FBD9-88B6-4B25-ABBC-AE013F0318D4}
NormAmps=OpLimI_1.3_1.8=1 {6935C9A4-B08D-4002-8209-3F33C2BBE94D}
EmergAmps=OpLimI_1.3_1.8=1 {D80BB37C-271B-45AA-A608-F336F0CD16FC}
NormAmps=OpLimI_0.9_1.2=1 {8900BB29-F792-45E4-904D-81F038E874C9}
EmergAmps=OpLimI_0.9_1.2=1 {889687A9-7208-48FF-A83C-85C8A397DCA5}
NormAmps=OpLimI_400.0_600.0=1 {CDFACBCA-DEB0-4463-BCCF-D1BF56B8634E}
EmergAmps=OpLimI_400.0_600.0=1 {84135B01-71F0-439E-86A9-2A5F0134089F}
