Circuit.yybal {43946E3D-232A-4B5F-B0C4-BEAECD347C8C}
PosPt=Transformer.t1=3 {CF021522-A893-42E6-A3DF-64AB6CB3B30D}
Wdg=t1=1 {13B68F94-B442-48D9-BE48-2F95040F7966}
Wdg=t1=2 {CDEF7DCC-80CC-4616-AB30-181D7CB3C082}
Wdg=t1=3 {0D119A34-B3D0-4B66-8456-8B1601920BD7}
XfCore=t1=1 {41128490-B435-4043-92A9-9B19A2B04B46}
XfMesh=t1=1 {320A0CE6-C266-4F56-ADFA-0526C8130957}
XfMesh=t1=2 {49E05E5F-AC01-4082-9B17-4B3AC19E5600}
XfMesh=t1=3 {7023500D-00C5-4E59-A3E2-9DB64349B08B}
34=t1=1 {AC1C54F0-950E-4EBE-B5F4-6FF19CDE4DC7}
OpLimI=OpLimI_305.6_416.7=0 {DA2064DA-1844-46BF-ACEF-DD3FA21CA8AB}
34=t1=2 {02EC1479-E8F2-4BC2-BDAD-6F20BB26A281}
34=t1=3 {FF66C47A-BF8C-480C-825E-93D700A2CA88}
LineLoc=line1=1 {310C0730-E71B-435E-A2E9-E028FBC251A2}
LinePhase=line1_A=1 {FF90143A-15E0-4782-99AD-E9AB094924EC}
LinePhase=line1_B=1 {33026B49-1168-48CA-8D2C-B0506C9290F7}
LinePhase=line1_C=1 {EA53D264-87D6-484D-B9B9-E8A23F7FFCA7}
LinePhase=line1_N=1 {E4180135-5397-4B12-81D6-03FE064859B6}
50=line1=1 {A696A786-C35A-45D5-AFAC-83BC3BA188ED}
50=line1=2 {74778F24-966E-4E12-B291-9CCC93D5ED94}
PosPt=Line.line1=1 {71943D22-A02F-4D32-B7FA-3B477938AD44}
PosPt=Line.line1=2 {ED783ECC-CEC3-4435-B32A-696C8EC4D716}
LoadResp=ConstkVA=1 {C42CBE96-DCBE-4121-87D8-80E50AE96E8D}
LoadResp=ConstZ=1 {FA7EF0A2-935C-4665-835C-FCA1B226C6D9}
LoadResp=ConstPQuadQ=1 {AB53CACD-0383-4830-9220-9E46738C580C}
LoadResp=LinPQuadQ=1 {FF6AE8F0-4980-4D58-913B-9537E8F06555}
LoadResp=ConstI=1 {3ABF7CBE-F375-499E-9B01-27EC7AE8AA65}
LoadResp=ConstQ=1 {EA87F6E2-B849-4313-9944-B4D9DCCF2C61}
LoadResp=ConstX=1 {E2507BD8-1629-431A-9001-43238E718BFB}
LoadLoc=house1=1 {D18FCF92-8F79-42F0-A7D1-5A416C41AC06}
LoadPhase=house1_s1=1 {DB4E2D2A-511B-413E-9401-FAF5A9D7FB07}
59=house1=1 {C8D413FD-FE38-4440-97D0-17C0CE1E3864}
PosPt=Load.house1=1 {9F152632-7B93-444C-94BC-17A004AE259C}
LoadLoc=house2=1 {8CC6CB9E-1F77-4C99-BF5A-D6400E7BFFD8}
LoadPhase=house2_s2=1 {D009BEDC-DEE8-4062-877C-24C3FFDB1FCF}
59=house2=1 {3F9CFA9B-84A9-4560-9613-DE704F668C63}
PosPt=Load.house2=1 {305305C3-CD0D-4DEF-8F85-2DE4A3D99F36}
WirePos=WP_4wire_1=1 {ADE27A67-A36B-43AF-9C55-6D685D4F07BA}
WirePos=WP_4wire_2=1 {23212F17-DED4-4338-B309-D889006BDEAB}
WirePos=WP_4wire_3=1 {69E9A70D-B5F0-4AC9-99CD-25A612C75441}
WirePos=WP_4wire_4=1 {11B054EF-0957-4F23-88DB-207AD47D33E5}
NormAmps=OpLimI_305.6_416.7=1 {19E5CD1C-C184-4577-AB0D-001885743EE0}
EmergAmps=OpLimI_305.6_416.7=1 {B51F58D6-7C85-4422-B69C-E67803E5D35A}
