Circuit.ddbal {9DAB9DF4-60B3-42A5-A24F-958A2D2E3B0E}
LoadResp=ConstkVA=1 {722EC31B-E748-4C4E-9841-DBE6AC999D2D}
LoadResp=ConstZ=1 {0C3A9238-3761-4548-9F65-3866EA918B06}
LoadResp=ConstPQuadQ=1 {97CD46D8-2D11-4182-937D-D61CE93A7E59}
LoadResp=LinPQuadQ=1 {90A294D6-32DE-442D-A6B9-B42C46562182}
LoadResp=ConstI=1 {12DD2ACF-30E6-461E-8623-BB6D5BF0698B}
LoadResp=ConstQ=1 {E98E7C0C-193A-4E31-B99D-B5E117B31E17}
LoadResp=ConstX=1 {44B4AB4A-4E35-421D-BB76-48762022A391}
LoadLoc=load1a=1 {53ECA2CF-3F98-4FE7-9460-06BCD7C676CA}
LoadPhase=load1a_A=1 {81FE0743-95B7-458E-A70F-D437DBD1B532}
59=load1a=1 {4D0E784E-203A-4646-BBE4-45D699EE25DE}
PosPt=Load.load1a=1 {240A9BFB-B875-4AB2-B824-BF9713812C8A}
LoadLoc=load1b=1 {E3F318D7-D4E1-43BA-9FCD-BD78AA415FB5}
LoadPhase=load1b_B=1 {774F28DA-84AD-4606-ADCF-BCA382C29114}
59=load1b=1 {6F8C2E7A-D351-4BB1-9C3E-014DE1AF8A1F}
PosPt=Load.load1b=1 {54E739D4-9D04-4F5C-826A-B0ECF98549C7}
LoadLoc=load1c=1 {6896C513-60D5-4C20-9616-2098361708BB}
LoadPhase=load1c_C=1 {0B79EF3F-3C48-4B04-A08F-E7B797D2FD06}
59=load1c=1 {02F14B82-4C7C-4C39-8466-C1BC159CEF97}
PosPt=Load.load1c=1 {5ECA44A5-BC76-49B7-B0E9-248178279A45}
WirePos=WP_4wire_1=1 {A35EC34B-EB38-48E9-A402-9BDFD5FF251A}
WirePos=WP_4wire_2=1 {82396016-8ADE-4B22-B8E9-D44B4933BAB9}
WirePos=WP_4wire_3=1 {92862694-C051-4EE5-8FF0-7A569F9550E5}
WirePos=WP_4wire_4=1 {37798B91-AEBD-487C-9EAC-03A728B64EDC}
WirePos=WP_3wire_1=1 {A99AAE4B-FA2F-4FF4-9389-5401C826A8CD}
WirePos=WP_3wire_2=1 {F28CCC55-A9F7-46A7-A137-A204C80744AC}
WirePos=WP_3wire_3=1 {2E6C9CC9-EECB-4957-9721-37408060BE9F}
NormAmps=OpLimI_305.6_416.7=1 {B4F31969-A537-422F-9580-0C427929915C}
EmergAmps=OpLimI_305.6_416.7=1 {023DA776-7307-4447-9446-9FC06342E115}
