Circuit.ddbal {D9A6F0E3-DD90-46AD-9CB1-7EDF15C41F9F}
BaseV=BaseV_4.1600=1 {D012EC80-AC76-402C-972A-6C212906D3A3}
OpLimV=OpLimV_4.1600=1 {2AC6F256-EE7D-44F8-A1A8-7FF05FA397E0}
OpLimAHi=BaseV_4.1600=1 {5B5F8901-DA37-401A-B7CB-AF905BD6DF55}
OpLimALo=BaseV_4.1600=1 {121C9CA5-4052-40CE-BF80-EF7D0B3EB42E}
OpLimBHi=BaseV_4.1600=1 {962D841B-D0E8-4568-B460-05FAFB6A31A4}
OpLimBLo=BaseV_4.1600=1 {F0E3699B-37D9-4866-BE66-39BAEABF92D1}
Topo=sourcebus=1 {022772BB-2F5B-482C-BD23-BDC0DD823A66}
Topo=n2=1 {A89686A7-532A-434F-A2C6-1FC6CC447CA0}
Topo=n3=1 {8B77D3E2-4074-4266-99F1-673D1FA4E574}
Topo=n4=1 {181E7DA2-C03C-4D6B-BCDA-4623906C47DB}
SrcLoc=source=1 {D9B5848F-D9C2-498F-89F1-8D9DA6F27F48}
25=source=1 {C508DC44-4AC3-4D57-A785-597D979A97F4}
PosPt=Vsource.source=1 {ED6A8C20-3810-41E2-AD1C-66F6ADEB1289}
Bank==t1=0 {34413404-C960-4582-919C-53A678CE42A1}
XfLoc=t1=1 {8DE837D0-D31D-485A-841F-2DBFA742FFE1}
PosPt=Transformer.t1=1 {2FEDFEB6-1ED6-4E8C-BB60-5787D2205E87}
PosPt=Transformer.t1=2 {A2BE7FDC-40CF-4AA8-9EE7-7BF37F586317}
Wdg=t1=1 {A3717AEC-8697-485B-A114-A950BA54924F}
Wdg=t1=2 {78485B04-3E23-48E3-95E1-3F80043E8A9D}
XfCore=t1=1 {096AACF5-3181-4083-8516-904C040E6CEF}
XfMesh=t1=1 {8BF766C7-4B9F-48B3-BAF2-5D1D8EB6BD38}
XfMesh=t1=2 {5604D306-F73C-4EBA-BE56-6EDD6AB65AFA}
XfMesh=t1=3 {AC3224AE-DB4D-4B0C-BC54-4471EB44F196}
34=t1=1 {2B9EB438-9427-4BC0-B2F2-CB4AA60BACB0}
OpLimI=OpLimI_305.6_416.7=0 {07318D9F-D9A8-49A8-B24C-342A9FD2D869}
34=t1=2 {6A0FBEA5-9194-4DC7-9462-1800A63BA1DF}
LineLoc=line1=1 {9A49D5CA-D4DD-42A2-87B9-97008A194A34}
LinePhase=line1_A=1 {62DA20BF-75DA-4C09-A030-FEFCF59FAEA2}
LinePhase=line1_B=1 {7C5F58B8-F96C-4CCE-9E98-D780126F9E35}
LinePhase=line1_C=1 {E49DB713-C492-46DC-B0B7-C94D593813EC}
50=line1=1 {D989E69F-28D2-4BA0-A1E1-5D8348305D27}
50=line1=2 {B7C92A1E-45E2-4276-9FD8-C745F15D676A}
PosPt=Line.line1=1 {CF15DC47-7F0C-4E7B-9484-557720E4A892}
PosPt=Line.line1=2 {17FE3D39-C8FA-4242-9DA8-C8287CF36D51}
LineLoc=line2=1 {7BB269FA-E167-4FF3-BF77-19B3228AF646}
LinePhase=line2_A=1 {5AF90B21-A828-4C1D-AEFE-A122CA60D5B7}
LinePhase=line2_B=1 {ABD38E32-19F5-4777-8146-ACD2D26504DF}
LinePhase=line2_C=1 {67E88B4C-FE92-4419-98C7-81A5F3A3014F}
50=line2=1 {B363E2A7-911D-419D-8A14-A35595B491F6}
50=line2=2 {4A203D13-2DA3-4733-8AF2-E0AFF37FE183}
PosPt=Line.line2=1 {6FD5E22E-DC82-4E10-8A88-4EDA6B260729}
PosPt=Line.line2=2 {46F5715A-0757-4090-BFC4-7E2AA23B0422}
LoadResp=ConstkVA=1 {2F2F3C2E-BC19-42A8-B376-CDE38996CA33}
LoadResp=ConstZ=1 {08E7574E-EEBB-48A5-AB56-ED3F909DFDD3}
LoadResp=ConstPQuadQ=1 {614F844B-F111-4F74-8B98-F20032F1E076}
LoadResp=LinPQuadQ=1 {03AFDFFC-8D3A-401D-95D8-CDF66738A63D}
LoadResp=ConstI=1 {66F7D154-E3A3-408F-B060-DD10FF0FE214}
LoadResp=ConstQ=1 {D8883139-97FE-46E8-9B96-36EBBBF57EB3}
LoadResp=ConstX=1 {6160D519-DE8C-4E37-9CEC-6AEE958660E1}
LoadLoc=load1=1 {C903F629-9D53-4C41-9B63-E2003A2D70CD}
59=load1=1 {FA16B399-DA83-4808-A163-2DAD7CAB35EC}
PosPt=Load.load1=1 {2AB6181E-887F-41B3-9C35-B05E9CAA0770}
WirePos=WP_4wire_1=1 {3B21C00D-80EE-4804-BAA6-6C8EE9E50376}
WirePos=WP_4wire_2=1 {A8A9190C-783F-4FAD-BC92-C6007991D16A}
WirePos=WP_4wire_3=1 {6BAEE41F-872E-49A5-B52D-286880039291}
WirePos=WP_4wire_4=1 {3BFBED3D-9C4F-49B6-B240-E79FEBAD3B6B}
WirePos=WP_3wire_1=1 {6594B1BB-5EF1-4147-B572-2AB9CD7D9F4D}
WirePos=WP_3wire_2=1 {8F78FE60-D6F1-42D4-9F2A-F4EF8B08A76E}
WirePos=WP_3wire_3=1 {408BFD74-0021-4CA8-8F53-D08AD8187995}
NormAmps=OpLimI_305.6_416.7=1 {48E251FD-5EE0-4215-82FC-86A9E42DF504}
EmergAmps=OpLimI_305.6_416.7=1 {389AB660-DA0D-492C-B2D7-1D9F3294B578}
