Circuit.yybal {088F22EA-893E-4ED5-BB7B-E74585EB3DA1}
OpLimV=OpLimV_4.1600=1 {252AF803-96F5-4AD8-BC2E-50446818A3F7}
OpLimAHi=BaseV_4.1600=1 {A78C8023-E118-43D9-8BC5-AEF03EE651AC}
OpLimALo=BaseV_4.1600=1 {9CB42201-1479-4CE4-9835-24B7AB205B61}
OpLimBHi=BaseV_4.1600=1 {9A84C55E-CF6B-4688-B576-F968898EA737}
OpLimBLo=BaseV_4.1600=1 {B7EBF3AF-9BA4-4A4E-A55C-232538B451AD}
Topo=sourcebus=1 {D4E674F0-54AF-4387-9C3F-B90EE4ADCA6A}
Topo=n2=1 {040F9213-4514-4503-8D59-5C8926D2C294}
Topo=n3=1 {9A732E33-0222-497F-B3D5-DD6EF00BD0B0}
Topo=n4=1 {08C4DC99-CA1A-46AA-9248-817D2A322460}
SrcLoc=source=1 {B0DFF71A-7C60-43E1-BF7D-57A63B1CD234}
25=source=1 {D4A8AEBD-721E-438B-904E-193B68824F2B}
PosPt=Vsource.source=1 {159FAF7D-BFD8-4984-B02E-A61B58EC9FC0}
TankInfo=cimxfmrcode_t1=1 {565DF819-81CA-47C0-BD4B-534B3F043B50}
XfInfo=cimxfmrcode_t1=1 {345ED58E-AB64-48B0-BB22-3D9739B94D96}
WdgInf=cimxfmrcode_t1=1 {4D0B934E-117E-4FFD-97DB-349388C59CF8}
WdgInf=cimxfmrcode_t1=2 {C9CC5056-4CF4-43AC-9CE0-0B3AB46E29A1}
OcTest=cimxfmrcode_t1=1 {EB14D139-2745-4F6C-883E-6376B202AC11}
ScTest=cimxfmrcode_t1=1 {49CBDF21-FFF4-41C2-91A0-6C8AE05A0568}
TankAsset=cimxfmrcode_t1=1 {8526D7E5-FFBC-457B-BA0F-D22A982FF907}
Bank==t1=0 {7B04248A-4410-491D-8768-A4BFA916066E}
XfLoc=t1=1 {6D2EB155-D24E-4FAB-98B2-DBE752FA3DC0}
PosPt=Transformer.t1=1 {EE2850C6-5246-4FD5-82C7-52A897FDB957}
PosPt=Transformer.t1=2 {8FC872A6-E8BE-4446-8735-0BC9BC7F5B8D}
Wdg=t1=1 {99A63027-CBE3-48EF-9E3F-84F18B87AB6E}
Wdg=t1=2 {72D8048D-BB07-4219-BE24-86AB708CDA9B}
XfCore=t1=1 {02F1D900-3912-42B4-ADFD-8E04139BC7F4}
XfMesh=t1=1 {D336FCB4-D0D6-4885-B654-5A9863F08860}
XfMesh=t1=2 {97E43D87-4380-4D17-9513-5FD2AF9AAA28}
XfMesh=t1=3 {64755D1D-F6B7-4208-9FD1-CD6BDE63EFE2}
34=t1=1 {1C248790-2DFC-465D-9B26-E9493B7DF1EF}
OpLimI=OpLimI_305.6_416.7=0 {945B385E-AD24-4407-9CA2-BE4F9AF68000}
34=t1=2 {9F56C4D9-7E44-4E99-82E1-BE4795096B16}
LineLoc=line1=1 {4BCDBC44-F6DC-4567-8214-46243911A835}
LinePhase=line1_A=1 {5021C5BF-6384-401B-9CF4-46012657F0DE}
LinePhase=line1_B=1 {5BAF7E54-7FDA-407E-B004-B1EF01072BE3}
LinePhase=line1_C=1 {88FC7645-1BF8-4C72-88F4-A7A25601C116}
LinePhase=line1_N=1 {DC73AC76-CA19-4FFB-A082-5BEE5D671FF9}
50=line1=1 {EBF5BD03-ED96-45E9-A411-A5D17A0ECE4B}
50=line1=2 {90407A2E-7100-4C7A-839C-86CDF4BE097A}
PosPt=Line.line1=1 {425133A8-AE05-4153-BA53-7565F999C34F}
PosPt=Line.line1=2 {B8FF6805-1A20-4515-8B4C-713BC6255A25}
LineLoc=line2=1 {25244E0C-3F9D-4A03-A0EE-CA5D7A127E77}
LinePhase=line2_A=1 {44395665-E1D1-4EC5-852F-923CD89692D3}
LinePhase=line2_B=1 {675AB98A-A8ED-430F-9267-452FA2F8E4D6}
LinePhase=line2_C=1 {10104859-3E08-4268-A54F-D19B24ED2E07}
LinePhase=line2_N=1 {FFA84ADE-6DD1-4E09-9031-55CA07A9611A}
50=line2=1 {05A7ED87-5D24-4D26-9ACB-28D78354C602}
50=line2=2 {134B54D0-4274-4FAF-AE8A-9A01D7DC2B7C}
PosPt=Line.line2=1 {47509D3E-ACD0-47D9-AC43-F5C2A2104D26}
PosPt=Line.line2=2 {DA3F5DA2-9687-46B9-AA5D-CC09F5BE2A90}
LoadResp=ConstkVA=1 {B29E58FC-830C-4D5E-B03D-E08D6C416B6F}
LoadResp=ConstZ=1 {3FAB80B2-9ADA-42ED-ACF7-BC9054F26B7F}
LoadResp=ConstPQuadQ=1 {B40BEB8E-4C86-4D4D-A38E-A99242EE1077}
LoadResp=LinPQuadQ=1 {3BA76B17-CE47-4ACB-B51C-2D96EEF18B43}
LoadResp=ConstI=1 {E63AE837-48B5-4BF1-94F6-A20C65E8A819}
LoadResp=ConstQ=1 {216D0216-99F2-4795-8A2B-2D359347232C}
LoadResp=ConstX=1 {87875BFE-76EA-4144-9D49-C30EBEBBF8FF}
LoadLoc=load1=1 {E1E9CD71-D335-4C40-9F3E-647D4244F84F}
LoadPhase=load1_A=1 {4C7A4C76-07F1-4AA5-864F-8DF6D719E409}
59=load1=1 {653277B7-8D01-4CBA-93D9-40CBAA595D19}
PosPt=Load.load1=1 {096305E6-412D-4D31-B9BE-E6AC21ADBB57}
WirePos=WP_4wire_1=1 {DE3C9DCF-75ED-453C-8038-396D211B4F72}
WirePos=WP_4wire_2=1 {DAE6C708-EA94-49F9-8B74-3FD901B03A69}
WirePos=WP_4wire_3=1 {F4E66A44-FCCF-4799-BB0E-C2FBF81A7858}
WirePos=WP_4wire_4=1 {A9C5A14D-DBB8-49AA-915E-43D571D987BE}
NormAmps=OpLimI_305.6_416.7=1 {745EE069-2B9C-45F8-B0E0-0A77D60E8113}
EmergAmps=OpLimI_305.6_416.7=1 {19DBFB7B-A6F0-4B89-BD9A-D4A3E04B1021}
