Circuit.autocodehlt {F57CC851-A475-40B8-8964-016013406E51}
OpLimBHi=BaseV_345.0000=1 {6D06AA70-F575-4EAE-BCA4-691A2A9B1E05}
OpLimBLo=BaseV_345.0000=1 {2A2F3BF6-95D5-43A9-BD51-2AB07BAB5935}
BaseV=BaseV_161.0000=1 {A3EB1D83-98FB-4D50-AC0C-122B8D780CBE}
OpLimV=OpLimV_161.0000=1 {64C953F0-9307-4049-8135-F4A3391093DC}
OpLimAHi=BaseV_161.0000=1 {320FF05E-98FC-462B-8A0C-351F002AB150}
OpLimALo=BaseV_161.0000=1 {3EAB6766-B78E-49B1-9A32-E0A4A663E495}
OpLimBHi=BaseV_161.0000=1 {985D0598-5019-48AD-9936-A0A285856446}
OpLimBLo=BaseV_161.0000=1 {0474BE24-70EE-4B9F-B674-1F5767A1E39D}
BaseV=BaseV_13.8000=1 {C8FC7F77-12FF-49FF-B858-733E3F894DBD}
OpLimV=OpLimV_13.8000=1 {9E6AF0A8-4233-46A7-831C-4BF74D06A066}
OpLimAHi=BaseV_13.8000=1 {DD8ED05D-38BD-4766-B895-A6CAC5B04E2E}
OpLimALo=BaseV_13.8000=1 {2684EDA6-B3F9-4543-82E4-511096B334AD}
OpLimBHi=BaseV_13.8000=1 {91708E25-0D36-4EA0-BD02-C640DA9E222C}
OpLimBLo=BaseV_13.8000=1 {57AFD0EE-4CE0-4C70-A82C-D6F5949ECE9C}
Topo=sourcebus=1 {F60C2916-FE87-47CF-AE36-6532F17104DF}
Topo=high=1 {4E20719B-A5F0-4456-A45F-DD40766FE448}
Topo=low=1 {B284F3AE-F5E6-44F9-8653-3165AAF5602A}
Topo=tert=1 {8D3D1C12-AC83-4812-9E42-0FC52F79B2CD}
SrcLoc=source=1 {FB0E1584-6935-4C62-AC7C-A363C1015A6B}
25=source=1 {BF62AEF4-7C86-4D0A-929C-B7C669A1B2FF}
PosPt=Vsource.source=1 {D655CAC2-C95D-440C-B099-11280E768806}
Bank==t1=0 {99AE69C5-70D1-44A0-8D60-7EADB7BABAC8}
XfLoc=t1=1 {351EB425-1464-430E-BD8C-52BC903D822E}
PosPt=Transformer.t1=1 {669A5957-306F-4D69-82A8-7B058EFA2DAC}
PosPt=Transformer.t1=2 {55866371-969D-48C2-8488-C4F55C455CA7}
PosPt=Transformer.t1=3 {F57C3A2A-EB43-425B-AB29-7BA5DF6191DB}
Wdg=t1=1 {287C2CD5-8129-469A-8DEB-B12D11534B1C}
Wdg=t1=2 {AF4D8DCD-5D57-4E23-A726-38987F187D6A}
Wdg=t1=3 {01FAE46F-4C68-479E-9AD0-ADF586674693}
XfCore=t1=1 {BD1BDE0E-FC31-4737-A411-0DBAF88C4B34}
XfMesh=t1=1 {31323666-0BAD-4309-8EDC-482F9ACFEFE0}
XfMesh=t1=2 {A1B63A6B-CC80-427B-BEFC-377BAFD61900}
XfMesh=t1=3 {8953FFFE-20DC-4BFE-835C-29EE4C64D358}
34=t1=1 {9486BB45-D66F-4598-B041-41214E791852}
OpLimI=OpLimI_607.5_828.4=0 {015FD732-298C-4F6A-90D0-34F648D55366}
34=t1=2 {42C8572B-8BEB-4C09-9349-F719B69B4618}
34=t1=3 {535FEC0C-CF9F-42C7-B24A-0DF581A054F4}
LineLoc=line1=1 {326191F8-D076-491E-8E68-43EBA0304D02}
50=line1=1 {693F3E3D-57C9-4B96-BFEB-F2351DA9E878}
OpLimI=OpLimI_400.0_600.0=0 {5857FCBB-4487-4256-8A39-C2BF2DDDB693}
50=line1=2 {AC85DF26-F3B4-4005-B4C9-4B66AF024FFC}
PosPt=Line.line1=1 {1BF33279-A7B7-4026-8930-FD9D78A60881}
PosPt=Line.line1=2 {07AB27C5-0350-4B11-BC26-82BA72D2646E}
LoadResp=ConstkVA=1 {33769B3B-337D-498D-86E7-2F5F432E6F19}
LoadResp=ConstZ=1 {952F2481-EEB6-4DA3-8F0E-3FA532E4EE8D}
LoadResp=ConstPQuadQ=1 {6543B539-0836-4063-94EE-BDC4ACE94089}
LoadResp=LinPQuadQ=1 {3EFC953D-8795-41F4-88CD-52D08F37FDDC}
LoadResp=ConstI=1 {921171F2-F89F-4E03-9EBE-863A24D70BF0}
LoadResp=ConstQ=1 {39240AB8-3F4F-4F60-BF42-F257894F3ECD}
LoadResp=ConstX=1 {226CFE56-05AF-455A-8F6B-627AC6EF34AB}
LoadLoc=test=1 {BCE664FE-2301-488C-9015-1D75C7C1D91F}
59=test=1 {6A96605A-344F-425F-A957-FBBEF975EA20}
PosPt=Load.test=1 {5BEFEF10-4480-402B-842B-1BEF2DF3214A}
NormAmps=OpLimI_607.5_828.4=1 {8300C406-32AA-47CD-A220-6C2A69AA2757}
EmergAmps=OpLimI_607.5_828.4=1 {398B9A66-2385-46A7-B4BB-212AC7B57824}
NormAmps=OpLimI_400.0_600.0=1 {A14637AF-2F32-4FC6-8369-D010B0A09637}
EmergAmps=OpLimI_400.0_600.0=1 {798F0722-BD4A-4B56-B873-50819D93DAC2}
WdgInf=auto=1 {FB99806F-ABCD-4922-968B-643F6F1FABE1}
WdgInf=auto=2 {4395FCA6-FC71-4C9D-BFDA-93C6841B71D9}
WdgInf=auto=3 {743C311B-4B8B-40A6-94E3-A6CD64886C27}
OcTest=auto=1 {3E48471D-969A-4934-A829-81AD44DDC549}
ScTest=auto=1 {AAEEA280-FE4A-4A1A-BC92-543E7B2160E4}
ScTest=auto=2 {2FCFE376-41E8-4561-A7A6-DE59A579FCB7}
ScTest=auto=3 {2EB5E23B-3FEC-495E-8F13-774BB5AC43A7}
Bank=sub=0 {45DF5077-1538-433F-A00B-022DED049234}
