Circuit.yybal {161B1872-2B5C-4CBF-9ED0-7193495CBE79}
OpLimBLo=BaseV_4.1600=1 {B4C9B332-A222-49D5-858D-9A0D6907E2DD}
Topo=sourcebus=1 {9842C3AC-5895-4EB1-82C6-897678ED2CC1}
Topo=n2=1 {7B2D2D9D-9184-45B8-A107-BB6E9D09DB4C}
Topo=n3=1 {40EDFD5B-2ECB-465C-8D0D-17DF7890EAF6}
Topo=n4=1 {46EE707A-1A71-4894-992F-FCA08C77EDEB}
SrcLoc=source=1 {F42FE385-7427-4CC5-A75C-BEEE3966A533}
25=source=1 {F2559F51-4D01-479F-AC9C-DF3101A9D5A1}
PosPt=Vsource.source=1 {55719DC3-2B62-4DF2-9DD6-43DE805632BD}
Bank==t1=0 {3CC3559B-5061-46D2-9225-2592B724BFE9}
XfLoc=t1=1 {492D3616-D161-422E-B489-ED83503BCC47}
PosPt=Transformer.t1=1 {E7B97118-5D33-4907-9885-A5B6C66A4412}
PosPt=Transformer.t1=2 {B8813CDE-B31D-47DF-AE0D-553B139392C0}
Wdg=t1=1 {1333D24A-E6C2-42A7-864C-63CAC2245AC8}
Wdg=t1=2 {795EFB20-2202-42FD-B0DE-9D2AA1B43AC1}
XfCore=t1=1 {8E1B3C45-46C8-4EA1-95D3-B52DAB0ECB5D}
XfMesh=t1=1 {8BD9CBED-2D78-4200-A13B-4E58BE6672AD}
XfMesh=t1=2 {035CE03C-8117-476D-BDDF-17F8E9459166}
XfMesh=t1=3 {ABC795D3-C7F9-4E5C-8486-062E0C1FA7DD}
34=t1=1 {1196E5B0-A765-4F65-B07A-171FDACE55B0}
OpLimI=OpLimI_305.6_416.7=0 {841B22F4-CB73-4DFF-B82A-D7224FDD3E78}
34=t1=2 {661585E4-FBA9-4C93-A2D3-DBF7AD5923C9}
LineLoc=line1=1 {7BDA0F22-D078-41E3-A0A7-DCFEC443129B}
LinePhase=line1_A=1 {54BE4461-00EE-417E-AB4D-9B2894228177}
LinePhase=line1_B=1 {46A6004E-E468-41F9-9CED-571ABFDD683E}
LinePhase=line1_C=1 {7144FD16-20D7-48B6-9D49-6F51843F54C1}
LinePhase=line1_N=1 {93B99704-842B-4963-A04E-6C62E2C67D95}
50=line1=1 {C44C39AC-44FE-4D8B-BF64-B4864F8514BA}
50=line1=2 {3FD53959-92B7-4DED-B572-86A039155139}
PosPt=Line.line1=1 {42680E03-BF0C-4839-8408-B16DE97514C5}
PosPt=Line.line1=2 {21193707-0B1E-4F80-8C32-EDC01EB4726F}
LineLoc=line2=1 {7C82F778-D700-4E04-B047-E1A599B905F4}
LinePhase=line2_A=1 {5BEDE7F3-2AAE-4E5E-9657-2413357FA48E}
LinePhase=line2_B=1 {CAAFA0A3-16C7-4C87-84FE-1DCF03ED7F86}
LinePhase=line2_C=1 {5EB5DB12-7923-49FE-B22E-5F9E73D74D5F}
LinePhase=line2_N=1 {D34C725B-62AD-4AC5-9905-A3C997CC9548}
50=line2=1 {97EE9CCD-96E5-468F-8B09-3F7702EBA634}
50=line2=2 {B1CE995B-AC16-434C-90EA-28D6799553F2}
PosPt=Line.line2=1 {6AF18704-96A0-4009-970F-D51221263341}
PosPt=Line.line2=2 {AC76964D-8536-4E03-884B-7435029AF15E}
LoadResp=ConstkVA=1 {181EC8D8-1CEC-48A4-BB3B-84C206111D73}
LoadResp=ConstZ=1 {484B7F7C-C070-4DD8-B435-4DDE55298225}
LoadResp=ConstPQuadQ=1 {32852F3C-F16A-42A2-AE54-063C4B0CB2BA}
LoadResp=LinPQuadQ=1 {10FF4C33-CD4F-4964-8AB9-D6061B094AD2}
LoadResp=ConstI=1 {71EFC0FF-973D-4EDD-9A4C-D1A0174C6DF7}
LoadResp=ConstQ=1 {029DE9FF-63F9-4CB8-BFB2-D911197AE757}
LoadResp=ConstX=1 {206C3D1D-51DF-4CFC-A5ED-A0D234B62B39}
LoadLoc=load1=1 {AEF705B8-2A44-4388-9BB9-1810B3754216}
59=load1=1 {C1A0BE9D-EC13-44DD-AEE8-96D9FEA85795}
PosPt=Load.load1=1 {C9DBD1E1-5DC8-4D0D-B67A-8197E9D2C539}
WirePos=WP_4wire_1=1 {3A84239A-DDDF-453B-812B-AE7B51E66D92}
WirePos=WP_4wire_2=1 {862F6EE0-4D85-428D-9E1C-BEE769EC1065}
WirePos=WP_4wire_3=1 {EE138417-17C1-4B23-B7A7-C8B2935918D6}
WirePos=WP_4wire_4=1 {B93D8E06-109F-48B1-A396-6540DCB87558}
NormAmps=OpLimI_305.6_416.7=1 {8BA40E4C-94DA-4F7D-B567-714C2BEE677C}
EmergAmps=OpLimI_305.6_416.7=1 {B0AE4515-A2DB-4247-A994-BBD68A378EDE}
