Circuit.oyodunbal {8FDAE9BB-0BE3-4103-A1CD-B12067583D9C}
OpLimT=ALo=1 {F23B4AA3-0A16-4FB1-8C7D-E24588920FD9}
OpLimT=BHi=1 {5981BC88-44D9-40A8-B511-C87526123896}
OpLimT=BLo=1 {EB2C19EC-1FA3-4AB5-A2E0-59AB59917770}
BaseV=BaseV_12.4700=1 {0C283332-6AD8-4382-849A-34B50C72459F}
OpLimV=OpLimV_12.4700=1 {62CA0E54-D138-4B16-89F3-C9A5B434FB59}
OpLimAHi=BaseV_12.4700=1 {8E8E72EE-3E18-43B4-A0EE-B0CDA1A31746}
OpLimALo=BaseV_12.4700=1 {F14E49E4-4643-49FB-AA69-E5C899F4A663}
OpLimBHi=BaseV_12.4700=1 {C4229E29-E195-4018-92F2-2E475CDA7134}
OpLimBLo=BaseV_12.4700=1 {0BFE8653-BDC9-4664-A029-917B30E9177D}
BaseV=BaseV_4.1600=1 {A4C393F0-D194-48EF-9D9C-C175185D2C35}
OpLimV=OpLimV_4.1600=1 {5801D7C3-D211-4761-819B-2B375C8451CE}
OpLimAHi=BaseV_4.1600=1 {C4B2E6DF-EB84-4B41-AA3B-E582319EA82F}
OpLimALo=BaseV_4.1600=1 {D3DAADA0-EABC-450B-8F64-5EE436FE4FA2}
OpLimBHi=BaseV_4.1600=1 {C0C225F8-62A3-4C7B-8491-E539472F92CE}
OpLimBLo=BaseV_4.1600=1 {A539D3AD-55D4-4BEB-A407-696DC3347FEE}
Topo=sourcebus=1 {1A3D0513-566F-4F32-A0D2-C387C214D8BD}
Topo=n2=1 {7A50BD6C-2072-4F87-BE6F-4E0832797886}
Topo=n3=1 {0C5B4D8A-906E-4225-83FC-477CB5E4A073}
Topo=n4=1 {6F2C2BDA-7CBF-4C8A-9432-DC4E7D8A4BFA}
SrcLoc=source=1 {12B1D0C4-22A8-4C93-8787-C247C9196189}
25=source=1 {4E85580E-F45A-4A30-A43F-BB56A8379739}
PosPt=Vsource.source=1 {D550C174-F932-4CC2-9FD1-B0BAFA0D2DD9}
TankInfo=cimxfmrcode_t1=1 {48FDB05E-6D39-45F0-9A84-011814F516BE}
TankInfo=cimxfmrcode_t2=1 {7260E2BD-3287-4BFD-B2BA-E39D846C9064}
XfInfo=cimxfmrcode_t1=1 {4325EAB3-1B93-4A24-88C1-11018A7F4286}
WdgInf=cimxfmrcode_t1=1 {913A7408-1468-42F2-9F9C-2D6984E9AF3D}
WdgInf=cimxfmrcode_t1=2 {73F7113B-E9DC-4EE2-98E0-6F730CC9909D}
OcTest=cimxfmrcode_t1=1 {667E88F0-51CC-4D60-9FC8-44497ABEE899}
ScTest=cimxfmrcode_t1=1 {7F005E7B-C095-4BF2-BD82-AC83A14DCCB8}
TankAsset=cimxfmrcode_t1=1 {344ABD24-BA18-4BFF-9560-5B0803CC64D6}
XfInfo=cimxfmrcode_t2=1 {4F9130FF-E47B-4667-AB54-D711E04BECF6}
WdgInf=cimxfmrcode_t2=1 {96690B7B-2B38-4319-9243-D18A0CC90A6C}
WdgInf=cimxfmrcode_t2=2 {0ADB4520-8F24-4AA9-8CBF-F8A6A83B002A}
OcTest=cimxfmrcode_t2=1 {F68E2BD3-4412-4D71-BF52-ABF1CF29F9E6}
ScTest=cimxfmrcode_t2=1 {2073E0F2-BDCC-481B-BAFC-B2DD3A4AF161}
TankAsset=cimxfmrcode_t2=1 {35FC87FF-E491-407D-AA81-52855D425F0C}
Bank==t1=0 {6D5AB68A-D2B6-426B-AC22-43E1753491F4}
Bank==t2=0 {5A09ECCD-4157-44E3-8689-309B682C986F}
XfLoc=t1=1 {46A42BD7-2D6B-4789-99BF-126EB613B9AD}
PosPt=Transformer.t1=1 {A882DD38-3BE0-43EB-A0CA-AAD38DA7B759}
PosPt=Transformer.t1=2 {B80F7E62-4AF5-4FEF-A80A-E623261F4F34}
Wdg=t1=1 {39ECED26-52E2-42BA-B559-7B384B6EF792}
Wdg=t1=2 {2A4BB290-0607-4CA9-AF9A-37AA07DCA202}
XfCore=t1=1 {0F09EEAA-777A-409D-A24C-3715B1B39EF0}
XfMesh=t1=1 {9EC063BF-F464-4BCC-B1AE-E404431A8735}
XfMesh=t1=2 {7CF1BF2D-6F5A-484B-8A7D-446B60BD2634}
XfMesh=t1=3 {9B245B37-D1F6-4E69-9A72-E8208DD8E861}
34=t1=1 {75252622-9933-4221-92F7-BD4AF58B147A}
OpLimI=OpLimI_305.6_416.7=0 {3B17A247-1549-4C0B-BCBF-EDD29E99EB2D}
34=t1=2 {B04FB84D-ECD4-4452-81B1-373EAAECA337}
XfLoc=t2=1 {3EB4FC2E-7472-4FB1-A938-A605D6266A06}
PosPt=Transformer.t2=1 {C864369E-8C51-4874-A668-C6A504B7C4B2}
PosPt=Transformer.t2=2 {44033F7C-DB75-41BD-AC81-916D273306F0}
Wdg=t2=1 {7117C26A-E05F-4463-9718-D9705EF65094}
Wdg=t2=2 {8D5F28F3-2481-462E-9A7A-9757C52346FA}
XfCore=t2=1 {C1AA837C-CB4B-4F53-A476-A32B941721D7}
XfMesh=t2=1 {6D6DE775-DB0C-4CFB-AC29-182934EE5765}
XfMesh=t2=2 {FB348A02-46D0-4A48-8409-C272CB520C82}
XfMesh=t2=3 {476BF29D-A849-4D71-A12F-D33BB147632D}
34=t2=1 {63B6A577-D7F0-4E44-82E7-721518FE8943}
34=t2=2 {AC357826-010E-4DED-B158-9A9F73DE845C}
LineLoc=line1=1 {F006797D-7C40-4D02-871D-8BF090C06BDC}
LinePhase=line1_A=1 {568CCCF8-989F-408D-A97C-A4AB0E3B8411}
LinePhase=line1_B=1 {2A6B07B9-6814-4070-BB32-992B30370002}
LinePhase=line1_C=1 {ADD2EDF4-C6AA-40D6-8C83-C5FC1C27CB7C}
50=line1=1 {14CF3729-E9A4-4639-B792-6D6A5BFD467F}
OpLimI=OpLimI_400.0_600.0=0 {15B58844-0D2A-44A4-B54B-16F7EA926442}
50=line1=2 {F9B2DE02-91BA-4F8A-BF7D-2BF2BE1CC4FF}
PosPt=Line.line1=1 {763DD266-4CEE-4A21-90D6-87B085F248D4}
PosPt=Line.line1=2 {0C8B3B1B-C6F3-476D-856A-F53D899F6AB3}
LineLoc=line2=1 {64934889-BB81-4071-B3FC-29F5DAAD03A5}
LinePhase=line2_A=1 {0542783C-AFD7-4F7B-AA98-B165F1471225}
LinePhase=line2_B=1 {676E62FA-D238-4589-BB25-C8A81D845C23}
LinePhase=line2_C=1 {7BA1FF64-B6A7-4B5D-B06E-29FA80169FBB}
50=line2=1 {9E192B52-A03F-48DD-BCE8-54A46A75EE97}
50=line2=2 {833B559B-3E27-4DD4-8388-78430E92DACE}
PosPt=Line.line2=1 {1FED6529-E28B-4413-994E-F8B2B3D2B734}
PosPt=Line.line2=2 {00B56319-86CF-4B1C-B67A-BFCFC9F3D97B}
LoadResp=ConstkVA=1 {CBCB9076-7A71-4E2F-8F12-3B675CD8EA78}
LoadResp=ConstZ=1 {0AEE3AFB-60E7-46DB-ACE4-91DF9B8FD9B3}
LoadResp=ConstPQuadQ=1 {08170532-44A0-490B-88BF-1A586DF14E7F}
LoadResp=LinPQuadQ=1 {B5D81FF5-059B-4E29-9E11-5B735F32C7EE}
LoadResp=ConstI=1 {776BBF9E-F381-4BC3-A325-07DB1C09B658}
LoadResp=ConstQ=1 {CF129D9F-353F-48FD-A905-B52EB3857885}
LoadResp=ConstX=1 {19E662C5-200B-4ADC-82DC-0029E2BC1545}
LoadLoc=load1=1 {88572E9C-3513-479B-9FC8-64DDBF1D7301}
LoadPhase=load1_A=1 {45A32265-9643-4BAB-8119-5B0713B3C13C}
59=load1=1 {879F4F68-3102-4351-AC58-AD48AE114E11}
PosPt=Load.load1=1 {3434D6E3-0BA7-450C-9A96-25FFE6DA4EAD}
LoadLoc=load2=1 {A84FB59A-5880-4741-8749-BADFBB1D970E}
LoadPhase=load2_B=1 {A368BC53-E0E0-4213-B299-0917E15220A5}
59=load2=1 {0C9FEA0F-A5AF-40D5-BE89-2DFC7EA1E127}
PosPt=Load.load2=1 {37C8D4C0-869E-4D53-A543-4C71E054573B}
LoadLoc=load3=1 {262CFE71-E902-4333-9571-06321C9AD407}
LoadPhase=load3_C=1 {FF7BB95C-D515-475E-B778-81B424A4D52B}
59=load3=1 {111F4C73-E6C7-4578-B611-CD95F432F15B}
PosPt=Load.load3=1 {8BDBD3C6-9A99-4E00-AA04-66B75AEC1966}
ZData=400=1 {42BE4372-80A4-41D6-BCC9-C3110AF02E55}
ZData=400=2 {C80284FA-0F1D-4BAC-9104-E01D9B1BE856}
ZData=400=3 {E22EA5B4-0A86-4834-AC5F-4F5557378C34}
ZData=400=4 {0C820649-E05D-422E-82D1-99734339485C}
ZData=400=5 {78F26164-9499-4EC6-9DF1-B98907EDA0E9}
ZData=400=6 {D04758B8-09F0-4B91-97C4-47592EAE8944}
ZData=300=1 {FA54A2A2-115F-435A-BED8-34FFCA72124C}
ZData=300=2 {DC8B8546-DD2E-4BF9-B36C-2FBBC026B341}
ZData=300=3 {90FAB5C5-97F3-4519-9B2C-CE3AFEEDAA6B}
ZData=300=4 {5789487F-BC4C-46EC-A775-D7962DB50FAD}
ZData=300=5 {A0546F4D-19DC-4981-89C7-818E3379591B}
ZData=300=6 {B673FA41-3FF7-4917-83E9-E2E1EBC732B6}
NormAmps=OpLimI_305.6_416.7=1 {D660AC9C-F9CC-4AC7-ADA8-A982A18CA16F}
EmergAmps=OpLimI_305.6_416.7=1 {EEBF6E67-CB0A-4A73-9EBD-7DBA7C2C0C37}
NormAmps=OpLimI_400.0_600.0=1 {8F34BC37-1974-42BD-830D-294DE086BE84}
EmergAmps=OpLimI_400.0_600.0=1 {5A912DDA-5AF4-4467-8065-B5E8ED880E2D}
Bank=Xfmr=0 {48BCA902-7E78-4CE1-B6D4-1A0E2B7067A1}
