Circuit.local_unity_a {B3600BC3-18B5-4720-9CC6-5997E35E8158}
Bank==der=0 {3FEA0692-EA26-44B4-A330-3EB06ADE4769}
XfLoc=der=1 {D297AD63-1029-44B2-9861-A7EA619E8E21}
PosPt=Transformer.der=1 {9C38A6E2-A0F1-4AB4-BCE8-F4AEA1443ACB}
PosPt=Transformer.der=2 {EB48ECB5-E3AE-4C02-BFEB-3413FF565C12}
Wdg=der=1 {98C81CAA-DB65-47DD-8279-F897574E4CD8}
Wdg=der=2 {6FBF46D4-D5B7-4179-AC28-45606D2BF7F1}
XfCore=der=1 {BF568FEF-5659-4F22-B79E-2B271DA45681}
XfMesh=der=1 {D54386D0-B689-442F-8264-D06780F795A7}
XfMesh=der=2 {38F26449-EBDB-4108-80B6-777F0328B4BF}
XfMesh=der=3 {D4CFC475-91D5-4E6F-8D9A-EE149DDCE195}
34=der=1 {87A94520-1074-4639-939A-C1CB2CE5ACBD}
OpLimI=OpLimI_360.8_492.1=0 {7E1DD7A6-6042-4616-8ED6-FCF934B17A35}
34=der=2 {A3185279-F402-43ED-ADAB-84E5BA013175}
LoadResp=ConstkVA=1 {B48B3464-1FD7-4EBC-BBA7-72E8D0795405}
LoadResp=ConstZ=1 {2E46ABAB-FC04-461A-8828-81DA06E0401A}
LoadResp=ConstPQuadQ=1 {E4B97E1A-DE72-4736-A257-C3AB7DCC867D}
LoadResp=LinPQuadQ=1 {E07488EA-BFC0-4F87-8375-026072E635D7}
LoadResp=ConstI=1 {D0C34A30-5EC8-4D2B-898D-0A5333E4B7BB}
LoadResp=ConstQ=1 {E2978424-0AF9-453C-A00B-E0BF3137B399}
LoadResp=ConstX=1 {573BFD2B-FD4F-4221-9F1B-AB9AB72C2F55}
NormAmps=OpLimI_360.8_492.1=1 {18D4E612-B497-4EF3-A834-AA76983BB310}
EmergAmps=OpLimI_360.8_492.1=1 {874001F4-2309-4CE9-A4B8-69FBF7FD9974}
Topo=sourcebus=1 {AF70F55F-307D-4939-885F-1AF74FF2DCC8}
ReacLoc=thev=1 {464A092A-D295-4A2A-A5B9-F976A7133964}
138=thev=1 {D7AAB048-74E2-4695-8761-DFC3F3380414}
OpLimI=OpLimI_4.6_6.3=0 {21528A9B-8115-43DB-AA71-544F49417668}
138=thev=2 {9887295C-52E0-46FE-A773-822E2DBB74DD}
PosPt=Reactor.thev=1 {4555E106-175F-4DE2-A195-A4654FC1075E}
PosPt=Reactor.thev=2 {EAC0C9DA-DB36-493B-A24A-A16922ECF304}
NormAmps=OpLimI_4.6_6.3=1 {D337CC03-8598-4D8E-8540-FA54697BE42B}
EmergAmps=OpLimI_4.6_6.3=1 {5E2CAE7B-CAA6-4AF2-9BAD-17BC8B7F6938}
BaseV=BaseV_0.2080=1 {80A5E5FD-338D-427B-92C8-ACFCFF455444}
OpLimV=OpLimV_0.2080=1 {19E4D70B-8C7D-440F-9540-4176B0D65144}
OpLimAHi=BaseV_0.2080=1 {465B9A25-A4BF-4167-B6EF-0A15C70218CA}
OpLimALo=BaseV_0.2080=1 {B9462A7B-F301-4C81-BB32-29B9F247DFDB}
OpLimBHi=BaseV_0.2080=1 {0C7CF207-9420-4E9A-99EC-DB4EFC7950A4}
OpLimBLo=BaseV_0.2080=1 {C80BB0EA-C659-4E8A-927A-AAF2E8BEA60E}
