Circuit.local_combo_a {1D4B98E2-62AB-411A-813E-F125F29ABD48}
OpLimBHi=BaseV_13.2000=1 {86FBF1C5-5F6E-4A20-89A1-8809561FEF76}
OpLimBLo=BaseV_13.2000=1 {339FB118-6A37-4312-AAD6-E6D432567215}
BaseV=BaseV_0.4000=1 {6A88A9F8-744D-4EAA-AADE-A43D9DC641A7}
OpLimV=OpLimV_0.4000=1 {AD006803-CE3A-4201-B7B4-808119FABF57}
OpLimAHi=BaseV_0.4000=1 {2E9D3278-900F-4E33-8618-07C69588F28F}
OpLimALo=BaseV_0.4000=1 {C0B2DB7C-5EBB-4B1E-BFD5-341871498BCD}
OpLimBHi=BaseV_0.4000=1 {689D6566-1928-43F2-AE53-CD770392969E}
OpLimBLo=BaseV_0.4000=1 {6AD53D4C-19CF-4287-82FC-D934363C3D06}
Topo=sourcebus=1 {67E2AF6D-034D-4F6D-A837-0333217F4E06}
Topo=high=1 {3A99273F-9273-4FC2-8286-BBAA2B2E44FE}
Topo=low=1 {83B1E7BB-0A3B-4AB2-8AF9-3748BA61BE77}
PVPanels=der=1 {ACF0A753-A03A-465E-BE8B-F96D6FD4370D}
SolarLoc=der=1 {0F0B07F6-3FBC-4B55-816F-CF91DB478BBD}
195=der=1 {84DA374D-5028-45EE-A74B-85A28CCDD784}
PosPt=PVSystem.der=1 {DBB54B1D-E5B1-4433-828A-4150E1C3DE27}
SrcLoc=source=1 {47577F21-B8C1-4F75-9AD2-87F0CCC04D8C}
25=source=1 {A3B3A93F-913A-46EE-BBFF-E87EA2710E05}
PosPt=Vsource.source=1 {EA43BC31-D889-4669-AD7F-BAB7765DA193}
Bank==der=0 {FCCD7288-56FE-4520-AE47-EB340A773705}
XfLoc=der=1 {75166515-E017-438B-9360-3044A33CEFB4}
PosPt=Transformer.der=1 {9B47FFB6-140F-4AB6-9E09-57893539E18A}
PosPt=Transformer.der=2 {91DF2527-5D23-4B2A-87A7-86F7770F5F4D}
Wdg=der=1 {6AE9D02F-B190-44CD-BD3E-E8C17F6D5E0E}
Wdg=der=2 {C61E6F40-38D6-4187-BB1C-A1F06C1F1C71}
XfCore=der=1 {E97D5ABF-DBF4-4C8B-8639-3A6EEF17410D}
XfMesh=der=1 {41E2BDDC-6490-42CA-B239-B9417131A440}
XfMesh=der=2 {E1F0C402-D0D8-4F88-B228-3C0DD6371C8E}
XfMesh=der=3 {41853417-769A-4D42-AF83-F192D0BC06ED}
34=der=1 {D2CB7114-A64B-49DE-B279-DEC100E653C6}
OpLimI=OpLimI_360.8_492.1=0 {4FC20A40-7ECD-4E25-BDA6-5F54312A3799}
34=der=2 {51512CD6-52A7-42D6-A2DD-B33687933F04}
ReacLoc=thev=1 {AD17ACE5-47E1-41DC-AEA2-EF9453DDD9ED}
138=thev=1 {A05E69B4-DEE7-4CEC-9697-5CEFAA2DCCB4}
OpLimI=OpLimI_4.6_6.3=0 {EB0B6E41-FE28-449B-88F3-7749A4F2AA02}
138=thev=2 {A6999875-D22B-44B6-8A72-EE81BA110E85}
PosPt=Reactor.thev=1 {ACFA39A6-9213-4700-9383-8E44ECAA8DE2}
PosPt=Reactor.thev=2 {36204D13-FD33-48B7-9BC0-15F848B09F2E}
LoadResp=ConstkVA=1 {5A52376D-DC26-4254-93ED-35C9650001A4}
LoadResp=ConstZ=1 {CE5C514F-4D80-4BBC-8134-CC5BB937DBD2}
LoadResp=ConstPQuadQ=1 {0800814B-7C46-4B7D-9DF8-118F8FC800FD}
LoadResp=LinPQuadQ=1 {B9ED4617-CB18-469D-BBBD-950EA0A606CD}
LoadResp=ConstI=1 {27F21B4A-57A9-4352-9BA0-FF6E0DA0F1DC}
LoadResp=ConstQ=1 {57A78C27-680B-468B-A820-EFCEBEB68377}
LoadResp=ConstX=1 {264B6291-DB45-4D76-9CC5-62D540D90DC9}
NormAmps=OpLimI_360.8_492.1=1 {472E1D97-DAFE-4478-9C9F-B1C4E18710EB}
EmergAmps=OpLimI_360.8_492.1=1 {0E64A9DA-6859-49D1-A78B-EF0DC5B41628}
NormAmps=OpLimI_4.6_6.3=1 {1D612875-18B0-4DE9-80CD-FFFFC7E8E1D6}
EmergAmps=OpLimI_4.6_6.3=1 {25A5D994-9548-4932-9189-1565B3FBDA8A}
BaseV=BaseV_0.2080=1 {9142C225-CFE4-4944-A2E5-CA7C7929A3A4}
OpLimV=OpLimV_0.2080=1 {7CDEF0AF-9A61-4ED1-B0FA-7EDB269D6F5F}
OpLimAHi=BaseV_0.2080=1 {92646968-27E3-45C1-83D4-C2E37BCB9042}
OpLimALo=BaseV_0.2080=1 {3F5FF279-FE18-47B7-AA2E-BB649641AE75}
OpLimBHi=BaseV_0.2080=1 {9DBB3613-AB4B-4B9D-8AC7-165BE74D1642}
OpLimBLo=BaseV_0.2080=1 {46E072FA-D99C-4004-AE8F-2837B28A0EE3}
INameplate=der=1 {CE8180AA-BD48-4AB5-B631-954B6D869C81}
IApplied=der=1 {03D13C0C-87AC-4B0C-B3B7-882077D4A6B6}
IVVar=der=1 {7C8EA205-6C2C-4CA9-9363-46D1AD429B94}
IWVar=der=1 {E1D85258-C598-4F71-B0BF-572E1AE09BC8}
IPF=der=1 {A0293485-65CE-4453-8A46-A2CAF8BE555A}
IQ=der=1 {BB9EB5FA-8F12-4F85-A051-27A315BF3F81}
IVWatt=der=1 {0D39E169-4D5C-496A-9BDA-C28930250DA6}
