Circuit.remote_vvar_b {5824790B-58F9-4428-BB11-6D56CE013C73}
PosPt=Transformer.der=2 {95EEB8F8-1A64-48A0-AD3D-49ED5BD9489E}
Wdg=der=1 {043D7BFE-9400-4F08-BD54-143EFE74D1C0}
Wdg=der=2 {7D1BE412-92A3-4DFE-8474-499743727586}
XfCore=der=1 {F71C61C3-1FBE-4D35-A0F7-31E0CD7021CF}
XfMesh=der=1 {723E8700-BDAD-4CC9-97FF-6D1D91129764}
XfMesh=der=2 {52E25085-65C3-43D8-B49F-4A70D5ADF102}
XfMesh=der=3 {B6D3E3F2-77F0-47E5-A2E6-7C5ED3BB76B6}
34=der=1 {14593EBF-7627-44D6-A9A0-2D13D20CA968}
OpLimI=OpLimI_360.8_492.1=0 {6E098F75-95B7-4BE9-B80A-A6B75B350404}
34=der=2 {23143A95-26BE-4A41-ADEA-484F67567190}
ReacLoc=thev=1 {A52DCA5B-9A36-44FF-A48D-B1C57CBEB7EF}
138=thev=1 {43B3AB61-7F36-43A3-BF8E-2912F270E2C7}
OpLimI=OpLimI_4.6_6.3=0 {DABE81D4-DC30-4759-86E6-5CBA3B540074}
138=thev=2 {11B05C41-2143-4606-8C8D-D7D35424C23F}
PosPt=Reactor.thev=1 {E15DC52A-6EF7-4D7F-A597-0A95A4E5CB04}
PosPt=Reactor.thev=2 {E6E6A512-752A-4AF9-BA6E-22DEA7409014}
LoadResp=ConstkVA=1 {4B99A8E6-5DB7-4DB1-ACC0-8267F1C8DFD8}
LoadResp=ConstZ=1 {EF51DF7C-8B1D-4B0D-98B2-2BCACC7FDB70}
LoadResp=ConstPQuadQ=1 {CFA8C832-B137-4383-9BDB-D61DC4A360E6}
LoadResp=LinPQuadQ=1 {AC023664-D28C-4771-9B6F-42F7E98664A3}
LoadResp=ConstI=1 {68C04349-0C2F-450C-9D40-CCFBCEE8686C}
LoadResp=ConstQ=1 {15417AB8-C9E2-4305-B1F7-409A0535503D}
LoadResp=ConstX=1 {DAA1E84C-C139-4A37-BA46-4B14DC5D9BE0}
NormAmps=OpLimI_360.8_492.1=1 {389081D7-43ED-43AA-A4E5-1EB6F30DB538}
EmergAmps=OpLimI_360.8_492.1=1 {3FDABA1F-B233-473D-B915-856898F66824}
NormAmps=OpLimI_4.6_6.3=1 {1F60DD5D-8C0C-4419-92AE-65E0E011C654}
EmergAmps=OpLimI_4.6_6.3=1 {C77BA367-FAD7-4F3B-B2B1-F96D2E3DDF6A}
BaseV=BaseV_0.2080=1 {37B93A61-61E2-42EB-93FB-DC686CD5B18C}
OpLimV=OpLimV_0.2080=1 {AF08C5DF-3DE4-4793-B97D-C2B00D1A3BA8}
OpLimAHi=BaseV_0.2080=1 {12912264-0B47-4235-AF8E-8DE88B19E715}
OpLimALo=BaseV_0.2080=1 {5F853F6B-6A39-4593-A095-31BE3461FD60}
OpLimBHi=BaseV_0.2080=1 {FEECE7CD-D810-4BAC-91A7-664D75725EEA}
OpLimBLo=BaseV_0.2080=1 {F4CCA25D-B895-49FA-87FA-3A1EBC81FA3B}
ISignal=der_1=1 {53D0DE17-DA19-4559-BD26-38A455206E9A}
ISignal=der_2=2 {AC9DD3AC-8547-4A63-ABB9-1A0BF53D0FB4}
ISignal=der_3=3 {635D7CA1-5E26-46D1-BD43-543DCCE8C30A}
INameplate=der=1 {EA329248-1526-4890-977C-A40BAE3499EC}
IApplied=der=1 {BB7F7676-4711-4C7C-847C-54A01EEE4D64}
IVVar=der=1 {08ADF710-BD08-475D-8403-AB3ECFA84B1A}
IWVar=der=1 {107E9220-068E-4814-8D92-7CF1E849E310}
IPF=der=1 {ABF54C6D-8C9C-4871-BD3A-D8DE88E13A8A}
IQ=der=1 {39205FE0-DE22-45C2-BC57-467EEEDD848C}
IVWatt=der=1 {EF59B3F1-C1E5-47B5-B8AC-74560117C12E}
