Circuit.local_wvar_b {746C6392-9F8B-4537-98C4-E978AB9547D4}
Topo=sourcebus=1 {FCF68C1E-29D6-478C-B67E-7CE1BBDA67DC}
Topo=high=1 {70859FD6-7AD9-4E0D-9AB1-59EA32E1CBDA}
Topo=low=1 {8220EAFE-ABFE-4193-9E20-9E94ABA29C02}
PVPanels=der=1 {BBA2D60C-CD48-44FD-8A57-F293AC2EDEAF}
SolarLoc=der=1 {0E8F067F-CDE7-477D-856D-4C78B7CDF9BA}
195=der=1 {B12723D8-682D-4B02-A352-B8D1DA57BE28}
PosPt=PVSystem.der=1 {62C25C3D-D53D-4E6F-947E-B05B0D4C7DE7}
INameplate=der=1 {DE6AA2C0-14FE-4BD8-B233-68CE45CF7DF7}
IApplied=der=1 {A27C0A4A-5851-489E-8CB8-1E0F1AED4F82}
IVVar=der=1 {12E8C893-449D-4F1E-8B8A-A79DE0AC0714}
IWVar=der=1 {F377ADBE-64E0-4712-BD7A-756B859B8C36}
IPF=der=1 {87CAF344-D3E5-4B1E-A636-E2AF4542A90F}
IQ=der=1 {68CD7EB8-241A-49D8-94AC-02EFB28A2DE1}
IVWatt=der=1 {69A473D8-2D83-4AE8-80E0-FE07D60D5B4D}
SrcLoc=source=1 {99197ED3-110E-4947-95D7-782ABC4CD104}
25=source=1 {A0C75BF2-90C1-4851-A318-585A925351F6}
PosPt=Vsource.source=1 {15E58F1A-F425-4A8C-BC42-C6DC56EE3A8E}
Bank==der=0 {9D86F41E-FB7F-47D5-92EE-A4F2159D1279}
XfLoc=der=1 {747B4752-1658-48DC-8DD1-F9CF75A2FE23}
PosPt=Transformer.der=1 {6B2B25FB-0171-4425-9079-8B404947A194}
PosPt=Transformer.der=2 {93F02F64-EE06-46B8-8FFD-B598C7069A69}
Wdg=der=1 {FFAC35FA-7A3E-4166-8B05-84E266897261}
Wdg=der=2 {189C12AD-6653-43F3-A5FA-C425ED71C9B6}
XfCore=der=1 {D97B9C60-6A0A-44C6-82E4-09FBAAD111D3}
XfMesh=der=1 {EFEBC80A-0027-492A-8C4C-62BC6AF17E6A}
XfMesh=der=2 {7A4C6A66-E8F2-42F6-8429-8E75A8E25B93}
XfMesh=der=3 {A17DB022-02C7-4DBA-B184-B0F3C5CB9376}
34=der=1 {EEC2F46C-0563-4E53-8543-87888DC8386B}
OpLimI=OpLimI_360.8_492.1=0 {599A37D7-FDBB-4025-9DFA-50A3DE53C81A}
34=der=2 {9521A9CB-6635-4C3D-B0F1-70EE75FA006B}
ReacLoc=thev=1 {1E5ADCDA-FE05-4598-B761-3E32BC7CF9E0}
138=thev=1 {DD6A6404-E79A-4AAD-8E27-D454A50E2520}
OpLimI=OpLimI_4.6_6.3=0 {B03BDF17-7602-4526-938D-440A75E429DD}
138=thev=2 {0A0AD721-CEA1-4A26-8249-064DB4C8963A}
PosPt=Reactor.thev=1 {1894C944-412F-41F2-A5EE-4CF1CA519E5E}
PosPt=Reactor.thev=2 {4EE10327-EADB-4C52-B04F-FD05B09C678B}
LoadResp=ConstkVA=1 {2A73492F-715F-43F5-8720-E833C115D641}
LoadResp=ConstZ=1 {769B8E5D-2FA5-4981-B25B-6A7E445E8E1D}
LoadResp=ConstPQuadQ=1 {12F16130-7E3F-43B1-9813-6B48E51BB165}
LoadResp=LinPQuadQ=1 {D8A90347-BCD3-4A31-A6AC-B921D1045B00}
LoadResp=ConstI=1 {B63FE595-991D-48BD-BA75-B21437899505}
LoadResp=ConstQ=1 {8023335D-89C7-48E0-B8CA-2A7BDB655F9D}
LoadResp=ConstX=1 {572A460C-D174-4150-9710-D57802E4AD27}
NormAmps=OpLimI_360.8_492.1=1 {CB4BDA4D-18AE-466D-AF49-A54F601D8E86}
EmergAmps=OpLimI_360.8_492.1=1 {AACD6B5E-FB01-4CD6-99E8-99A2A4E9229D}
NormAmps=OpLimI_4.6_6.3=1 {CA44E23D-96D8-460D-88EA-24F45E076A0C}
EmergAmps=OpLimI_4.6_6.3=1 {F64386E0-4A66-4859-AD36-8312B5D9E389}
