Circuit.local_vvar_a {D1D5E183-EE39-44E6-9D5C-A1519F0D8709}
BaseV=BaseV_0.4000=1 {803DB4D9-4E38-4E77-B0A4-3073CB938A9E}
OpLimV=OpLimV_0.4000=1 {EDEACBA7-D686-46BE-8F33-7B3B939853B1}
OpLimAHi=BaseV_0.4000=1 {E1755718-011C-46F3-90C7-DF06768AE417}
OpLimALo=BaseV_0.4000=1 {715AEDCC-86FF-4EC0-8705-DC6EC33781B2}
OpLimBHi=BaseV_0.4000=1 {DAF26790-F091-410F-AB15-0A7389D37949}
OpLimBLo=BaseV_0.4000=1 {970B2938-F86F-4EBD-AF5F-445435DB3CD9}
Topo=sourcebus=1 {C73C4103-00A4-4B9A-8158-0C432A6FE9C5}
Topo=high=1 {AE5201B5-3D6B-4B03-9061-EF32B41720AB}
Topo=low=1 {DBD0E623-102F-44D1-99E8-E0A17D36709F}
PVPanels=der=1 {6483CE03-EAD9-40A6-97B1-14EA854C35B4}
SolarLoc=der=1 {8E7F4F89-5197-4194-9D9E-D1B2F413C369}
195=der=1 {50403B61-18F8-461D-99B0-F3EAF9332C2F}
PosPt=PVSystem.der=1 {BB679895-1D55-4AEA-9737-7B5D4E909FA8}
SrcLoc=source=1 {3DF7D6EF-7E49-4FDB-A14F-3D9379AB6F84}
25=source=1 {8759AFFA-8C71-4096-817C-FE8F46B22354}
PosPt=Vsource.source=1 {F8D257D6-5494-4C1F-B25E-253A79842790}
Bank==der=0 {86319104-DD69-4F67-A370-6BD17C0EA930}
XfLoc=der=1 {EFA577FB-D2D6-4BED-A224-3C8A1D0BD7B4}
PosPt=Transformer.der=1 {9D0C3640-AF9C-439E-ACAF-BADA400FAA7E}
PosPt=Transformer.der=2 {9E03A941-A8E2-43C0-B643-2F99ADEE9B96}
Wdg=der=1 {70422005-E091-4CED-9F58-CE207BA9E784}
Wdg=der=2 {FAB23C49-F187-4EE5-9E8A-950ADAB867B2}
XfCore=der=1 {30F8EC54-64AC-4BA8-A22B-58C65CA000BD}
XfMesh=der=1 {EE026457-0BED-4D71-996E-F06E40AAB1F0}
XfMesh=der=2 {37EE4F47-D385-4C08-A267-B885FF376D08}
XfMesh=der=3 {2B158E63-0031-4FA2-B95C-3DBFB3CD7D9D}
34=der=1 {388CF69E-1317-490B-B1CC-778A02FEE82A}
OpLimI=OpLimI_360.8_492.1=0 {861AED31-4444-49A9-B43E-3910090648B0}
34=der=2 {E1125D54-94A1-423A-998C-8B6D6873EB6B}
ReacLoc=thev=1 {0E1E9817-CECE-4131-8B9B-11A74D8F5D0E}
138=thev=1 {045B91A9-CFC2-4199-A535-5AF8843B7E17}
OpLimI=OpLimI_4.6_6.3=0 {F81183DA-5D25-47A2-8648-FE67C5459413}
138=thev=2 {F26B5D81-A44E-4C23-A385-7B8D662F876A}
PosPt=Reactor.thev=1 {66255888-A7ED-4AC2-861F-BD1A5EE33E61}
PosPt=Reactor.thev=2 {70766B02-EECB-4F8F-AA6F-D671F9F7F4B4}
LoadResp=ConstkVA=1 {9D5DE9D0-C055-4701-8798-59673973CE8C}
LoadResp=ConstZ=1 {D51FF78B-D7AA-47DA-88F2-CAC585A7F132}
LoadResp=ConstPQuadQ=1 {E55733DB-6476-47D7-A323-E1AA54B2B876}
LoadResp=LinPQuadQ=1 {EE7065EA-D514-4FBF-A3C9-746E9624C972}
LoadResp=ConstI=1 {36DEDCB5-A3BE-4CD2-92E3-71B7A24358E9}
LoadResp=ConstQ=1 {185A9C60-3782-47BA-B5BE-16DB1569C575}
LoadResp=ConstX=1 {1EC94E74-0C53-44EE-8426-DB1C4311B539}
NormAmps=OpLimI_360.8_492.1=1 {6A554CFC-B2B3-4489-88B4-69AA6657793D}
EmergAmps=OpLimI_360.8_492.1=1 {461CC808-ED75-4CF5-8809-CB3874D7024E}
NormAmps=OpLimI_4.6_6.3=1 {D6BDD364-091E-4D02-843F-BF7E76EC5EC2}
EmergAmps=OpLimI_4.6_6.3=1 {C10A346F-AE03-4DE3-A526-A15C0F09715E}
BaseV=BaseV_0.2080=1 {8F39018A-FD39-4521-915E-9783120486F7}
OpLimV=OpLimV_0.2080=1 {C82DB455-8D69-4547-B1D5-8C9862CE765A}
OpLimAHi=BaseV_0.2080=1 {32B5FB95-704D-495F-B060-29E8A112A79F}
OpLimALo=BaseV_0.2080=1 {D4F96589-0A98-4D9B-8176-D9F1E026E9B1}
OpLimBHi=BaseV_0.2080=1 {3F320FB8-BB5F-4E3F-AF3C-69B48181AAB7}
OpLimBLo=BaseV_0.2080=1 {6EE7723B-4858-46D7-969E-869D35D36343}
INameplate=der=1 {87EC2CAA-A352-4E90-A89C-5222CACA3A3D}
IApplied=der=1 {81CAFB54-ED45-461C-9C21-9A78B0722AC2}
IVVar=der=1 {CC41E28A-B86C-4016-8F5E-1A750178789A}
IWVar=der=1 {F23E6527-D7CF-42BA-A477-D67D9231AA22}
IPF=der=1 {2DBF24F9-8C3C-473D-9BC8-832FFFBB4AF5}
IQ=der=1 {079C1AA1-9384-4724-89FC-29FA6EFD2F20}
IVWatt=der=1 {4DF34B21-2C8E-4620-8BEA-73640C9557FB}
